c_charge_degree,age_cat,race,gender,score_text,priors_count,two_year_recid
F,Greater than 45,Other,Male,Low,0,0
F,25 - 45,African-American,Male,Low,0,1
F,Less than 25,African-American,Male,Low,4,1
M,25 - 45,Other,Male,Low,0,0
F,25 - 45,Caucasian,Male,Medium,14,1
F,25 - 45,Other,Male,Low,3,0
M,25 - 45,Caucasian,Female,Low,0,0
F,25 - 45,Caucasian,Male,Low,0,0
M,Less than 25,African-American,Male,Medium,3,1
M,25 - 45,Caucasian,Female,Low,0,0
F,25 - 45,African-American,Male,Low,0,0
F,Greater than 45,Caucasian,Female,Low,1,1
F,25 - 45,African-American,Male,Low,7,1
M,25 - 45,Hispanic,Male,Low,0,0
F,25 - 45,African-American,Male,High,3,0
F,25 - 45,Caucasian,Male,Medium,6,1
F,25 - 45,Caucasian,Male,Low,5,1
F,Greater than 45,African-American,Male,Medium,13,1
F,Less than 25,African-American,Male,High,1,1
M,25 - 45,Caucasian,Male,Low,0,1
F,Less than 25,Caucasian,Female,Low,0,0
F,Less than 25,Hispanic,Male,Low,1,1
M,25 - 45,Caucasian,Male,Low,1,0
M,25 - 45,Other,Male,Low,0,0
F,25 - 45,African-American,Male,Low,8,1
F,25 - 45,African-American,Male,Medium,5,1
F,25 - 45,African-American,Male,High,0,1
F,25 - 45,Caucasian,Male,High,9,1
F,25 - 45,African-American,Male,High,4,1
F,Greater than 45,Caucasian,Male,Low,0,0
F,Greater than 45,Other,Male,Low,7,1
M,25 - 45,Caucasian,Female,Medium,4,1
M,Less than 25,Caucasian,Male,Low,1,1
F,25 - 45,African-American,Male,High,21,1
M,25 - 45,Caucasian,Male,Low,0,0
F,Less than 25,African-American,Female,High,2,0
M,Greater than 45,African-American,Male,Low,2,0
M,25 - 45,Caucasian,Male,Low,2,1
F,Greater than 45,African-American,Female,Low,7,0
F,25 - 45,African-American,Male,Medium,0,1
M,25 - 45,Caucasian,Male,High,9,1
F,25 - 45,African-American,Male,High,13,1
M,Greater than 45,Caucasian,Male,Low,0,0
F,25 - 45,African-American,Male,Low,0,0
F,25 - 45,Caucasian,Male,Low,1,1
F,25 - 45,Other,Female,Low,0,0
F,25 - 45,African-American,Male,Medium,15,0
F,Less than 25,African-American,Male,Low,2,1
M,25 - 45,Hispanic,Male,Medium,0,0
M,Greater than 45,African-American,Male,Low,4,0
F,Greater than 45,Caucasian,Male,Medium,8,0
F,25 - 45,African-American,Male,Low,5,0
F,25 - 45,African-American,Male,High,15,1
M,25 - 45,Caucasian,Male,Low,4,1
F,Less than 25,African-American,Male,Low,1,1
F,25 - 45,African-American,Male,High,4,1
M,Greater than 45,Hispanic,Male,Low,0,0
F,25 - 45,African-American,Male,Medium,6,1
M,25 - 45,Other,Male,Low,0,0
M,Greater than 45,African-American,Female,Low,0,0
F,Greater than 45,Hispanic,Male,Low,6,1
F,Less than 25,Hispanic,Male,Low,1,0
M,25 - 45,African-American,Male,Low,1,0
F,25 - 45,African-American,Male,Medium,5,1
F,25 - 45,Caucasian,Male,Medium,1,1
F,25 - 45,African-American,Male,Low,2,0
M,Less than 25,African-American,Male,Low,1,1
F,Less than 25,Caucasian,Male,High,0,0
F,25 - 45,African-American,Female,Low,1,1
F,25 - 45,African-American,Male,Low,0,0
M,25 - 45,African-American,Male,Low,1,0
M,25 - 45,African-American,Male,High,8,1
F,Greater than 45,Other,Male,Low,0,1
F,25 - 45,African-American,Male,High,14,1
F,Less than 25,Other,Male,Medium,0,1
F,Less than 25,African-American,Male,High,2,1
M,25 - 45,African-American,Female,Low,1,0
F,25 - 45,African-American,Male,Medium,9,1
F,25 - 45,Caucasian,Male,High,7,1
F,Less than 25,Other,Male,Medium,1,1
F,25 - 45,Caucasian,Male,High,9,1
F,Less than 25,Caucasian,Female,Medium,0,0
F,25 - 45,Caucasian,Male,Low,2,1
M,Greater than 45,Caucasian,Female,Low,0,0
M,25 - 45,Hispanic,Female,Low,0,0
M,Less than 25,African-American,Male,Low,1,1
F,25 - 45,African-American,Male,Low,1,0
F,25 - 45,Caucasian,Female,Low,0,1
