,Two_yr_Recidivism,Number_of_Priors,score_factor,Female,Misdemeanor,Age,Race
0,0,0,0,0,0,Age_Above_FourtyFive,Other
1,1,0,0,0,0,Age_Below_TwentyFive,African_American
2,1,4,0,0,0,Age_Below_TwentyFive,African_American
3,0,0,0,0,1,Age_Below_TwentyFive,Other
4,1,14,1,0,0,Age_Below_TwentyFive,
5,0,3,0,0,0,Age_Below_TwentyFive,Other
6,0,0,0,1,1,Age_Below_TwentyFive,
7,0,0,0,0,0,Age_Below_TwentyFive,
8,1,3,1,0,1,Age_Below_TwentyFive,African_American
9,0,0,0,1,1,Age_Below_TwentyFive,
10,0,0,0,0,0,Age_Below_TwentyFive,African_American
11,1,1,0,1,0,Age_Above_FourtyFive,
12,1,7,0,0,0,Age_Below_TwentyFive,African_American
13,0,0,0,0,1,Age_Below_TwentyFive,Hispanic
14,0,3,1,0,0,Age_Below_TwentyFive,African_American
15,1,6,1,0,0,Age_Below_TwentyFive,
16,1,5,0,0,0,Age_Below_TwentyFive,
17,1,13,1,0,0,Age_Above_FourtyFive,African_American
18,1,1,1,0,0,Age_Below_TwentyFive,African_American
19,1,0,0,0,1,Age_Below_TwentyFive,
20,0,0,0,1,0,Age_Below_TwentyFive,
21,1,1,0,0,0,Age_Below_TwentyFive,Hispanic
22,0,1,0,0,1,Age_Below_TwentyFive,
23,0,0,0,0,1,Age_Below_TwentyFive,Other
24,1,8,0,0,0,Age_Below_TwentyFive,African_American
25,1,5,1,0,0,Age_Below_TwentyFive,African_American
26,1,0,1,0,0,Age_Below_TwentyFive,African_American
27,1,9,1,0,0,Age_Below_TwentyFive,
28,1,4,1,0,0,Age_Below_TwentyFive,African_American
29,0,0,0,0,0,Age_Above_FourtyFive,
30,1,7,0,0,0,Age_Above_FourtyFive,Other
31,1,4,1,1,1,Age_Below_TwentyFive,
32,1,1,0,0,1,Age_Below_TwentyFive,
33,1,21,1,0,0,Age_Below_TwentyFive,African_American
34,0,0,0,0,1,Age_Below_TwentyFive,
35,0,2,1,1,0,Age_Below_TwentyFive,African_American
36,0,2,0,0,1,Age_Above_FourtyFive,African_American
37,1,2,0,0,1,Age_Below_TwentyFive,
38,0,7,0,1,0,Age_Above_FourtyFive,African_American
39,1,0,1,0,0,Age_Below_TwentyFive,African_American
40,1,9,1,0,1,Age_Below_TwentyFive,
41,1,13,1,0,0,Age_Below_TwentyFive,African_American
42,0,0,0,0,1,Age_Above_FourtyFive,
43,0,0,0,0,0,Age_Below_TwentyFive,African_American
44,1,1,0,0,0,Age_Below_TwentyFive,
45,0,0,0,1,0,Age_Below_TwentyFive,Other
46,0,15,1,0,0,Age_Below_TwentyFive,African_American
47,1,2,0,0,0,Age_Below_TwentyFive,African_American
48,0,0,1,0,1,Age_Below_TwentyFive,Hispanic
49,0,4,0,0,1,Age_Above_FourtyFive,African_American
50,0,8,1,0,0,Age_Above_FourtyFive,
51,0,5,0,0,0,Age_Below_TwentyFive,African_American
52,1,15,1,0,0,Age_Below_TwentyFive,African_American
53,1,4,0,0,1,Age_Below_TwentyFive,
54,1,1,0,0,0,Age_Below_TwentyFive,African_American
55,1,4,1,0,0,Age_Below_TwentyFive,African_American
56,0,0,0,0,1,Age_Above_FourtyFive,Hispanic
57,1,6,1,0,0,Age_Below_TwentyFive,African_American
58,0,0,0,0,1,Age_Below_TwentyFive,Other
59,0,0,0,1,1,Age_Above_FourtyFive,African_American
60,1,6,0,0,0,Age_Above_FourtyFive,Hispanic
61,0,1,0,0,0,Age_Below_TwentyFive,Hispanic
62,0,1,0,0,1,Age_Below_TwentyFive,African_American
63,1,5,1,0,0,Age_Below_TwentyFive,African_American
64,1,1,1,0,0,Age_Below_TwentyFive,
65,0,2,0,0,0,Age_Below_TwentyFive,African_American
66,1,1,0,0,1,Age_Below_TwentyFive,African_American
67,0,0,1,0,0,Age_Below_TwentyFive,
68,1,1,0,1,0,Age_Below_TwentyFive,African_American
69,0,0,0,0,0,Age_Below_TwentyFive,African_American
70,0,1,0,0,1,Age_Below_TwentyFive,African_American
71,1,8,1,0,1,Age_Below_TwentyFive,African_American
72,1,0,0,0,0,Age_Above_FourtyFive,Other
73,1,14,1,0,0,Age_Below_TwentyFive,African_American
74,1,0,1,0,0,Age_Below_TwentyFive,Other
75,1,2,1,0,0,Age_Below_TwentyFive,African_American
76,0,1,0,1,1,Age_Below_TwentyFive,African_American
77,1,9,1,0,0,Age_Below_TwentyFive,African_American
78,1,7,1,0,0,Age_Below_TwentyFive,
79,1,1,1,0,0,Age_Below_TwentyFive,Other
80,1,9,1,0,0,Age_Below_TwentyFive,
81,0,0,1,1,0,Age_Below_TwentyFive,
82,1,2,0,0,0,Age_Below_TwentyFive,
83,0,0,0,1,1,Age_Above_FourtyFive,
84,0,0,0,1,1,Age_Below_TwentyFive,Hispanic
85,1,1,0,0,1,Age_Below_TwentyFive,African_American
86,0,1,0,0,0,Age_Below_TwentyFive,African_American
87,1,0,0,1,0,Age_Below_TwentyFive,
88,1,8,1,0,0,Age_Below_TwentyFive,
89,0,0,0,0,0,Age_Below_TwentyFive,
90,0,0,1,0,1,Age_Below_TwentyFive,
91,0,1,0,1,0,Age_Below_TwentyFive,
92,0,1,0,0,0,Age_Below_TwentyFive,
93,1,3,1,0,0,Age_Below_TwentyFive,African_American
94,1,5,0,0,1,Age_Below_TwentyFive,
95,0,0,1,0,0,Age_Below_TwentyFive,
96,1,5,1,0,0,Age_Below_TwentyFive,African_American
97,0,3,0,0,0,Age_Below_TwentyFive,African_American
98,1,1,0,0,0,Age_Below_TwentyFive,
99,1,10,1,0,0,Age_Below_TwentyFive,African_American
100,1,0,0,0,0,Age_Below_TwentyFive,African_American
101,1,28,1,0,0,Age_Below_TwentyFive,African_American
102,0,1,1,0,1,Age_Below_TwentyFive,African_American
