age,workclass,education,marital_status,occupation,race,gender,hours_per_week,income,AL_prediction,AL_prediction_proba,GL_prediction,GL_prediction_proba,GD_prediction,GD_prediction_proba
27,2,7,0,5,1,0,44,0.0,0.0,0.9504302687608978,0.0,0.9660432756410432,0,0.9978123
27,2,1,3,2,1,0,40,0.0,0.0,0.927166498812644,0.0,0.9282288045499847,0,0.99993336
25,2,0,1,3,1,1,40,0.0,0.0,0.7587983449242155,0.0,0.6553262333144119,0,0.73439574
46,2,6,1,0,0,1,40,0.0,0.0,0.888485416108816,0.0,0.8558546844887129,0,0.98689914
45,2,6,0,0,1,1,76,1.0,0.0,0.9176606084996782,0.0,0.9526563126941148,0,0.9997316
29,2,1,1,2,1,1,75,0.0,1.0,0.40388338428368287,1.0,0.4057118100701551,1,1.512398e-07
42,0,3,2,4,0,0,60,0.0,0.0,0.8635046898282176,0.0,0.8510079639775383,0,0.9989784
34,2,7,0,5,1,0,50,0.0,0.0,0.9145122986592082,0.0,0.7537480618214117,0,0.9740278
60,0,0,0,2,1,1,40,1.0,0.0,0.6751087616568958,0.0,0.6467334826086777,1,0.31677338
19,2,7,3,5,1,0,40,0.0,0.0,0.9919201086617314,0.0,0.975338609508295,0,0.9998307
21,2,0,3,5,1,0,8,0.0,0.0,0.9973563503243875,0.0,0.9592813958050238,0,0.9998785
31,2,4,3,2,1,0,46,0.0,0.0,0.7602770135775617,0.0,0.7445083608080183,0,0.97093683
53,2,4,1,5,1,1,45,1.0,1.0,0.11725680718355702,1.0,0.11506798956923536,1,5.020641e-07
35,1,3,1,1,1,0,25,0.0,0.0,0.7307751946314003,0.0,0.8995735626258233,0,0.97127515
51,0,4,0,5,1,0,40,0.0,0.0,0.7659022655750849,0.0,0.5058375934058279,1,0.011388071
31,0,1,0,4,1,1,50,1.0,0.0,0.8070252792698362,0.0,0.8638768412987716,0,0.94297016
37,2,7,1,0,1,1,52,0.0,0.0,0.5638606683097034,0.0,0.6134321106556875,1,0.05980435
29,2,2,1,2,0,1,60,0.0,1.0,0.2794812385056512,1.0,0.19864329949848447,1,1.0990103e-07
68,1,3,1,1,1,1,15,0.0,0.0,0.7336869792031298,0.0,0.8137825374109129,0,0.8663527
24,2,3,1,0,1,1,40,0.0,0.0,0.8864240011794478,0.0,0.8582612782581525,0,0.94766515
46,2,6,2,0,1,0,40,0.0,0.0,0.9918658335487129,0.0,0.9643809324310664,0,0.99988914
53,2,7,1,0,0,1,40,1.0,0.0,0.6801631083511825,1.0,0.4989738574736081,1,0.04539358
54,2,7,1,2,1,1,40,1.0,1.0,0.30634269941539993,1.0,0.42012646346764715,1,1.781061e-08
21,2,7,3,0,1,1,55,0.0,0.0,0.9695933669574133,0.0,0.9828799223235565,0,0.9998317
56,2,2,1,2,1,1,50,0.0,1.0,0.15058549011270383,1.0,0.1808408494068069,1,1.1022138e-07
35,3,5,1,2,1,1,65,1.0,1.0,0.08471926458720169,1.0,0.15551766759405816,1,1.0683918e-07
46,2,7,1,5,1,1,40,0.0,1.0,0.41278798843573317,0.0,0.5657052371056634,1,0.002182332
36,3,7,0,3,1,0,35,0.0,0.0,0.9799143390481946,0.0,0.9682976972770656,0,0.9998926
20,2,7,3,0,1,0,40,0.0,0.0,0.9915206687816281,0.0,0.9880085612719063,0,0.9999014
29,2,3,3,0,1,1,40,0.0,0.0,0.9789106925412776,0.0,0.9870264730944898,0,0.9999025
37,2,7,0,4,0,0,40,0.0,0.0,0.9754678503785901,0.0,0.9765792366049454,0,0.9999051
17,2,6,3,0,1,1,16,0.0,0.0,0.9999974487162572,0.0,0.9902087732956057,0,0.9998838
32,2,3,0,0,1,0,38,0.0,0.0,0.9798595313556447,0.0,0.9839971045496263,0,0.99990356
23,2,3,3,5,1,1,40,0.0,0.0,0.9741980179080345,0.0,0.9630553108112069,0,0.9998791
45,3,4,0,3,1,0,42,1.0,0.0,0.7167788777706776,1.0,0.25864813412388665,1,0.009175954
26,2,3,3,0,1,1,40,0.0,0.0,0.984187009098921,0.0,0.987438284337805,0,0.9999021
31,2,3,0,4,1,0,99,1.0,0.0,0.8407800452818057,1.0,0.37728898020219515,0,0.99596894
79,2,7,1,2,1,1,20,0.0,1.0,0.33162784810100665,0.0,0.7411703800477534,1,4.580883e-09
49,2,3,0,4,1,0,40,0.0,0.0,0.9421748709468597,0.0,0.9677717770820544,0,0.9998957
42,2,1,1,3,1,1,40,1.0,1.0,0.237848249207671,1.0,0.4308442452360681,1,5.5889775e-08
67,2,4,1,3,1,1,30,1.0,1.0,0.18197382279943874,1.0,0.15820568318844996,1,9.838564e-08
35,2,2,1,5,1,1,45,1.0,1.0,0.12176404581786937,0.0,0.6058084759628943,1,4.68419e-07
44,2,1,0,5,1,1,50,1.0,0.0,0.5029235406105048,1.0,0.3401171856592613,1,0.12849519
31,2,3,1,0,1,1,40,0.0,0.0,0.8375188913870317,0.0,0.8843021491177886,0,0.9228089
37,0,1,0,2,1,0,55,0.0,0.0,0.8152016061983842,0.0,0.9399356388991429,1,0.060270734
22,0,0,3,5,1,1,40,0.0,0.0,0.9605637007884034,0.0,0.9766560034779852,0,0.9998097
34,2,7,1,0,1,1,40,0.0,0.0,0.7049590369014377,0.0,0.6855849483720396,0,0.7204809
45,2,3,0,0,1,1,40,0.0,0.0,0.9419066773839716,0.0,0.9749878415603106,0,0.99988186
51,2,3,1,0,0,1,40,0.0,0.0,0.8315666777308353,0.0,0.6053217255942787,0,0.69203776
28,2,6,1,5,1,0,40,0.0,0.0,0.8527108104221784,0.0,0.9591918513131998,0,0.99968314
38,2,0,0,5,0,0,40,0.0,0.0,0.9423229336666885,0.0,0.9779915055464117,0,0.9971649
40,2,6,0,0,1,0,40,0.0,0.0,0.9866344759222694,0.0,0.9643238910653108,0,0.999894
50,2,7,1,4,1,1,60,1.0,1.0,0.4454007271374021,1.0,0.471664440550596,1,3.6710995e-07
33,2,6,0,0,1,1,40,0.0,0.0,0.9784408644285242,0.0,0.9700824596430578,0,0.99989235
49,2,1,1,5,1,1,40,0.0,1.0,0.21823458795209238,1.0,0.2872141291922212,1,9.833872e-07
44,2,0,0,0,1,0,45,0.0,0.0,0.8768594736466786,0.0,0.9805212806534002,0,0.9998933
23,2,3,1,4,1,1,50,0.0,0.0,0.8035370392354353,0.0,0.8804489332541221,0,0.83866227
20,2,3,3,0,1,1,40,0.0,0.0,0.9938847990506293,0.0,0.9880535863673082,0,0.99989927
32,2,3,1,4,1,0,20,0.0,0.0,0.9242535866797983,0.0,0.9517845097087166,0,0.99182874
64,2,6,0,4,1,0,12,0.0,0.0,0.9947912255574868,0.0,0.9570382348526439,0,0.99988353
28,2,1,1,2,1,1,40,0.0,1.0,0.3895938871470679,1.0,0.4878760518102717,1,1.3541256e-07
47,0,6,1,0,1,1,40,0.0,0.0,0.8894400534207484,0.0,0.9329226351540371,0,0.9369919
37,2,7,0,5,1,0,40,0.0,0.0,0.9487984479242118,0.0,0.9171903696935013,0,0.9971329
