age,workclass,education,marital_status,occupation,race,gender,hours_per_week,income,AL,AL_proba,GL,GL_proba,GD,GD_proba
27,2,7,0,5,1,0,44,0.0,0.0,0.94455147,0.0,0.94449073,0,0.9967439
27,2,1,3,2,1,0,40,0.0,0.0,0.9067733,0.0,0.95304674,0,0.9998534
25,2,0,1,3,1,1,40,0.0,0.0,0.70667624,1.0,0.47478324,1,0.4148928
46,2,6,1,0,0,1,40,0.0,0.0,0.9033652,0.0,0.8505705,0,0.99461126
45,2,6,0,0,1,1,76,1.0,0.0,0.95029765,0.0,0.8737015,0,0.998618
29,2,1,1,2,1,1,75,0.0,1.0,0.26198363,1.0,0.27187937,1,9.710307e-07
42,0,3,2,4,0,0,60,0.0,0.0,0.90284544,0.0,0.9029034,0,0.99795306
34,2,7,0,5,1,0,50,0.0,0.0,0.9115701,0.0,0.9543103,0,0.99410594
60,0,0,0,2,1,1,40,1.0,0.0,0.7697963,0.0,0.81680524,0,0.981415
19,2,7,3,5,1,0,40,0.0,0.0,0.9893095,0.0,0.97491384,0,0.999785
21,2,0,3,5,1,0,8,0.0,0.0,0.99557894,0.0,0.98413354,0,0.9999603
31,2,4,3,2,1,0,46,0.0,0.0,0.75626814,0.0,0.7828092,1,0.45423725
53,2,4,1,5,1,1,45,1.0,1.0,0.10278863,1.0,0.08186847,1,8.5189276e-07
35,1,3,1,1,1,0,25,0.0,0.0,0.8881406,0.0,0.95943,0,0.99606436
51,0,4,0,5,1,0,40,0.0,0.0,0.7550477,0.0,0.56834316,1,0.12667996
31,0,1,0,4,1,1,50,1.0,0.0,0.7900051,0.0,0.8928675,0,0.98370856
37,2,7,1,0,1,1,52,0.0,0.0,0.5453067,0.0,0.52301633,1,0.0019615637
29,2,2,1,2,0,1,60,0.0,1.0,0.20992893,1.0,0.30517924,1,1.2275408e-06
68,1,3,1,1,1,1,15,0.0,0.0,0.7722702,0.0,0.90846497,0,0.9278721
24,2,3,1,0,1,1,40,0.0,0.0,0.8816412,0.0,0.9151474,0,0.99563533
