age,workclass,education,marital_status,occupation,race,gender,hours_per_week,income,AL_prediction,AL_prediction_proba,GL_prediction,GL_prediction_proba,GD_prediction,GD_prediction_proba
27,2,7,0,5,1,0,44,0.0,0.0,0.9260094,0.0,0.996268,0,0.99985456
27,2,1,3,2,1,0,40,0.0,0.0,0.9309821,0.0,0.8533055,0,0.99984205
25,2,0,1,3,1,1,40,0.0,0.0,0.80203,0.0,0.62706196,0,0.9998647
46,2,6,1,0,0,1,40,0.0,0.0,0.881187,0.0,0.90744567,0,0.99983656
45,2,6,0,0,1,1,76,1.0,0.0,0.9510541,0.0,0.9208277,0,0.9998357
29,2,1,1,2,1,1,75,0.0,1.0,0.35769987,1.0,0.45741272,1,0.12762232
42,0,3,2,4,0,0,60,0.0,0.0,0.95196354,0.0,0.88480765,0,0.9998454
34,2,7,0,5,1,0,50,0.0,0.0,0.8729449,0.0,0.9901602,0,0.9998524
60,0,0,0,2,1,1,40,1.0,0.0,0.86484003,0.0,0.86681235,0,0.9998386
19,2,7,3,5,1,0,40,0.0,0.0,0.9961605,0.0,0.97684205,0,0.99985707
21,2,0,3,5,1,0,8,0.0,0.0,0.9987656,0.0,0.9885857,0,0.9998691
31,2,4,3,2,1,0,46,0.0,0.0,0.8005701,0.0,0.8432191,0,0.9998361
53,2,4,1,5,1,1,45,1.0,1.0,0.12884676,1.0,0.08522117,1,1.5223567e-11
35,1,3,1,1,1,0,25,0.0,0.0,0.83773047,0.0,0.8284192,0,0.9998597
51,0,4,0,5,1,0,40,0.0,0.0,0.6930443,0.0,0.7447394,0,0.9997451
31,0,1,0,4,1,1,50,1.0,0.0,0.7816254,0.0,0.7391137,0,0.99984336
37,2,7,1,0,1,1,52,0.0,0.0,0.5603093,0.0,0.5489213,0,0.8992373
29,2,2,1,2,0,1,60,0.0,1.0,0.20743549,1.0,0.298975,1,3.696951e-06
68,1,3,1,1,1,1,15,0.0,0.0,0.8540916,0.0,0.8262495,0,0.99986374
24,2,3,1,0,1,1,40,0.0,0.0,0.9075593,0.0,0.87441915,0,0.9998635
46,2,6,2,0,1,0,40,0.0,0.0,0.99520487,0.0,0.94954455,0,0.9998385
53,2,7,1,0,0,1,40,1.0,0.0,0.6828915,0.0,0.5274475,0,0.7814866
54,2,7,1,2,1,1,40,1.0,1.0,0.3891881,1.0,0.47857553,1,0.36910164
21,2,7,3,0,1,1,55,0.0,0.0,0.9806888,0.0,0.96877545,0,0.99983716
56,2,2,1,2,1,1,50,0.0,1.0,0.112502456,1.0,0.1021505,1,3.1872724e-09
35,3,5,1,2,1,1,65,1.0,1.0,0.081983805,1.0,0.24979085,1,1.2571218e-05
46,2,7,1,5,1,1,40,0.0,1.0,0.37669307,1.0,0.45022,1,0.4209092
36,3,7,0,3,1,0,35,0.0,0.0,0.9297462,0.0,0.9789459,0,0.9998592
20,2,7,3,0,1,0,40,0.0,0.0,0.99664277,0.0,0.98049486,0,0.9998597
29,2,3,3,0,1,1,40,0.0,0.0,0.97218806,0.0,0.9748276,0,0.99984837
37,2,7,0,4,0,0,40,0.0,0.0,0.97872496,0.0,0.9657892,0,0.99986196
17,2,6,3,0,1,1,16,0.0,0.0,0.9999997,0.0,0.9950463,0,0.999866
32,2,3,0,0,1,0,38,0.0,0.0,0.97923476,0.0,0.9767733,0,0.99985707
23,2,3,3,5,1,1,40,0.0,0.0,0.9848704,0.0,0.99107575,0,0.999851
45,3,4,0,3,1,0,42,1.0,0.0,0.58917034,0.0,0.76127636,0,0.99983907
26,2,3,3,0,1,1,40,0.0,0.0,0.98171157,0.0,0.9811235,0,0.9998487
31,2,3,0,4,1,0,99,1.0,0.0,0.96087784,0.0,0.80864674,0,0.99983823
79,2,7,1,2,1,1,20,0.0,0.0,0.5979421,0.0,0.688402,0,0.7435077
49,2,3,0,4,1,0,40,0.0,0.0,0.9680966,0.0,0.9631056,0,0.99984574
42,2,1,1,3,1,1,40,1.0,1.0,0.25281757,1.0,0.29229605,1,0.005118739
67,2,4,1,3,1,1,30,1.0,1.0,0.36384058,1.0,0.3677892,1,0.00051370607
35,2,2,1,5,1,1,45,1.0,1.0,0.119627,1.0,0.14334977,1,5.971046e-07
44,2,1,0,5,1,1,50,1.0,0.0,0.6372489,1.0,0.46274245,0,0.6206371
31,2,3,1,0,1,1,40,0.0,0.0,0.8111942,0.0,0.85695946,0,0.99986434
37,0,1,0,2,1,0,55,0.0,0.0,0.68786144,0.0,0.9879438,0,0.99983585
22,0,0,3,5,1,1,40,0.0,0.0,0.9822347,0.0,0.9379353,0,0.99983585
34,2,7,1,0,1,1,40,0.0,0.0,0.6995239,0.0,0.67508805,0,0.99953616
45,2,3,0,0,1,1,40,0.0,0.0,0.94385034,0.0,0.9600641,0,0.9998417
51,2,3,1,0,0,1,40,0.0,0.0,0.78378654,0.0,0.5580766,0,0.77365005
28,2,6,1,5,1,0,40,0.0,0.0,0.84283143,0.0,0.9257026,0,0.9998355
38,2,0,0,5,0,0,40,0.0,0.0,0.9075061,0.0,0.97944427,0,0.9998547
40,2,6,0,0,1,0,40,0.0,0.0,0.98588955,0.0,0.9631235,0,0.9998473
50,2,7,1,4,1,1,60,1.0,1.0,0.40613067,1.0,0.34387237,1,0.24305733
33,2,6,0,0,1,1,40,0.0,0.0,0.98643565,0.0,0.9679637,0,0.99984515
49,2,1,1,5,1,1,40,0.0,1.0,0.21776605,1.0,0.31730956,1,1.3917598e-05
44,2,0,0,0,1,0,45,0.0,0.0,0.9046067,0.0,0.9623313,0,0.99984443
23,2,3,1,4,1,1,50,0.0,0.0,0.8794365,0.0,0.868917,0,0.99984324
20,2,3,3,0,1,1,40,0.0,0.0,0.9950592,0.0,0.9864391,0,0.999848
32,2,3,1,4,1,0,20,0.0,0.0,0.9345054,0.0,0.94335455,0,0.99983644
64,2,6,0,4,1,0,12,0.0,0.0,0.9959813,0.0,0.9556065,0,0.9998356
