age,workclass,education,marital_status,occupation,race,gender,hours_per_week,income,AL,AL_proba,AGbr,AGbr_proba,GL,GL_proba,GGbr,GGbr_proba,GD,GD_proba
27,2,7,0,5,1,0,44,0.0,0.0,0.9450087,0.0,0.9558286759475785,0.0,0.9480083,0.0,0.9346541874255497,0,0.8243496
27,2,1,3,2,1,0,40,0.0,0.0,0.90893227,0.0,0.9556590131425386,0.0,0.8479796,0.0,0.9202354281035807,0,0.8218418
25,2,0,1,3,1,1,40,0.0,0.0,0.7063502,0.0,0.7670628651929939,0.0,0.60387075,0.0,0.6215429615949615,1,0.043129522
46,2,6,1,0,0,1,40,0.0,0.0,0.90282327,0.0,0.86065181221261,0.0,0.90789056,0.0,0.9020607093599726,0,0.78624076
45,2,6,0,0,1,1,76,1.0,0.0,0.95016915,0.0,0.908180394438211,0.0,0.9470941,0.0,0.9595748407846842,0,0.90779483
29,2,1,1,2,1,1,75,0.0,1.0,0.26296306,1.0,0.30744729396829185,1.0,0.17924327,1.0,0.19833507452468424,1,0.037700526
42,0,3,2,4,0,0,60,0.0,0.0,0.9018253,0.0,0.951307712849119,0.0,0.9617908,0.0,0.9536262565679045,0,0.8310533
34,2,7,0,5,1,0,50,0.0,0.0,0.91194856,0.0,0.947012967837151,0.0,0.9381581,0.0,0.9208377158602726,0,0.82073784
60,0,0,0,2,1,1,40,1.0,0.0,0.7669445,0.0,0.6041386820043493,0.0,0.6043026,0.0,0.541972600848583,1,0.27942976
19,2,7,3,5,1,0,40,0.0,0.0,0.98931015,0.0,0.9886839775798411,0.0,0.9728679,0.0,0.9707663816793631,0,0.87645566
21,2,0,3,5,1,0,8,0.0,0.0,0.9955447,0.0,0.9823513674989599,0.0,0.9949825,0.0,0.9843173362468542,0,0.9298308
31,2,4,3,2,1,0,46,0.0,0.0,0.7577963,0.0,0.8644891221526771,0.0,0.62897956,0.0,0.7950476855505086,1,0.4351907
53,2,4,1,5,1,1,45,1.0,1.0,0.10206878,1.0,0.10024258165521516,1.0,0.16939515,1.0,0.14023548562290633,1,0.03818698
35,1,3,1,1,1,0,25,0.0,0.0,0.8845075,0.0,0.9012103752356428,0.0,0.88023514,0.0,0.9037578688181263,0,0.6850257
51,0,4,0,5,1,0,40,0.0,0.0,0.7522271,0.0,0.641506467861738,0.0,0.61045206,0.0,0.6519498254547231,1,0.04245039
31,0,1,0,4,1,1,50,1.0,0.0,0.7916152,0.0,0.8782518053011,0.0,0.79800075,0.0,0.9024433599924517,0,0.8873451
37,2,7,1,0,1,1,52,0.0,0.0,0.54438704,0.0,0.5570066470479662,1.0,0.47523093,0.0,0.6006614213365404,1,0.039915398
29,2,2,1,2,0,1,60,0.0,1.0,0.2093612,1.0,0.32704322211808246,1.0,0.21520853,1.0,0.2225304730898402,1,0.037722204
68,1,3,1,1,1,1,15,0.0,0.0,0.7748796,0.0,0.8791914886341969,0.0,0.8572471,0.0,0.8241222804612416,1,0.45583305
24,2,3,1,0,1,1,40,0.0,0.0,0.8810648,0.0,0.9423561131619395,0.0,0.86771816,0.0,0.90986011880817,0,0.730318
46,2,6,2,0,1,0,40,0.0,0.0,0.9876616,0.0,0.9529659795440947,0.0,0.98982275,0.0,0.9827509683236761,0,0.9307879
53,2,7,1,0,0,1,40,1.0,0.0,0.64636886,0.0,0.6418686965471587,0.0,0.6050811,0.0,0.576922389227765,1,0.040288426
54,2,7,1,2,1,1,40,1.0,1.0,0.35131365,1.0,0.2648189822890602,1.0,0.23361403,1.0,0.41409319860757265,1,0.03849363
21,2,7,3,0,1,1,55,0.0,0.0,0.97681427,0.0,0.9645097215332594,0.0,0.9694894,0.0,0.9707663816793631,0,0.87523276
56,2,2,1,2,1,1,50,0.0,1.0,0.09831965,1.0,0.12643799055118765,1.0,0.17535847,1.0,0.13529116086194626,1,0.037883177
35,3,5,1,2,1,1,65,1.0,1.0,0.14026457,1.0,0.14500615531260563,1.0,0.1402148,1.0,0.20424574862637934,1,0.038480524
46,2,7,1,5,1,1,40,0.0,1.0,0.40900725,1.0,0.4622350731990118,0.0,0.52528,1.0,0.4378365852704229,1,0.038463235
36,3,7,0,3,1,0,35,0.0,0.0,0.97376925,0.0,0.954371520568556,0.0,0.96312094,0.0,0.9729141847531273,0,0.9177366
20,2,7,3,0,1,0,40,0.0,0.0,0.9917739,0.0,0.9863696747648122,0.0,0.9867895,0.0,0.9787851087051603,0,0.90320885
29,2,3,3,0,1,1,40,0.0,0.0,0.9867468,0.0,0.9806113063845955,0.0,0.99247193,0.0,0.9832839092235206,0,0.9144794
37,2,7,0,4,0,0,40,0.0,0.0,0.9700963,0.0,0.9780143749067721,0.0,0.9569975,0.0,0.9707663816793631,0,0.86822253
17,2,6,3,0,1,1,16,0.0,0.0,0.99999464,0.0,0.9920508658277523,0.0,0.9875732,0.0,0.984893497821653,0,0.9405349
32,2,3,0,0,1,0,38,0.0,0.0,0.9834234,0.0,0.982625806811943,0.0,0.99153996,0.0,0.9779442463922156,0,0.9197564
23,2,3,3,5,1,1,40,0.0,0.0,0.9840228,0.0,0.9863324772102614,0.0,0.98460996,0.0,0.9797113951608709,0,0.91223425
45,3,4,0,3,1,0,42,1.0,0.0,0.76557213,0.0,0.7861577432059814,0.0,0.9382993,0.0,0.7930218771453441,0,0.58388484
26,2,3,3,0,1,1,40,0.0,0.0,0.9895301,0.0,0.9828675849173878,0.0,0.9902545,0.0,0.9832839092235206,0,0.91286147
