age,workclass,education,marital_status,occupation,race,gender,hours_per_week,income,AL,AL_proba,GL,GL_proba,GD,GD_proba
27,2,7,0,5,1,0,44,0.0,0.0,0.9436196,0.0,0.9218121,0,0.57293516
27,2,1,3,2,1,0,40,0.0,0.0,0.9039545,0.0,0.8800331,0,0.5738424
25,2,0,1,3,1,1,40,0.0,0.0,0.7030194,0.0,0.7881172,0,0.57713246
46,2,6,1,0,0,1,40,0.0,0.0,0.90183115,0.0,0.88200617,0,0.5732163
45,2,6,0,0,1,1,76,1.0,0.0,0.9493491,0.0,0.96921843,0,0.5729249
29,2,1,1,2,1,1,75,0.0,1.0,0.25563645,1.0,0.3260209,0,0.5729569
42,0,3,2,4,0,0,60,0.0,0.0,0.9024026,0.0,0.85307235,0,0.5734054
34,2,7,0,5,1,0,50,0.0,0.0,0.91002923,0.0,0.9205009,0,0.5730203
60,0,0,0,2,1,1,40,1.0,0.0,0.76570386,0.0,0.7242271,0,0.5763001
19,2,7,3,5,1,0,40,0.0,0.0,0.9890543,0.0,0.9939644,0,0.5771653
21,2,0,3,5,1,0,8,0.0,0.0,0.9955455,0.0,0.96447814,0,0.57894385
31,2,4,3,2,1,0,46,0.0,0.0,0.7493071,0.0,0.71532905,0,0.5740719
53,2,4,1,5,1,1,45,1.0,1.0,0.1008293,1.0,0.16031152,0,0.57363427
35,1,3,1,1,1,0,25,0.0,0.0,0.885876,0.0,0.8598876,0,0.5780012
51,0,4,0,5,1,0,40,0.0,0.0,0.748857,0.0,0.8251457,0,0.57302505
31,0,1,0,4,1,1,50,1.0,0.0,0.78752685,0.0,0.92478186,0,0.5729428
37,2,7,1,0,1,1,52,0.0,0.0,0.5388206,0.0,0.5801943,0,0.5734135
29,2,2,1,2,0,1,60,0.0,1.0,0.20493889,1.0,0.2560072,0,0.57606804
68,1,3,1,1,1,1,15,0.0,0.0,0.7695001,0.0,0.91114104,0,0.5769065
24,2,3,1,0,1,1,40,0.0,0.0,0.87856483,0.0,0.83019626,0,0.57327306
46,2,6,2,0,1,0,40,0.0,0.0,0.9874696,0.0,0.8709737,0,0.5730548
53,2,7,1,0,0,1,40,1.0,0.0,0.64264715,0.0,0.6066106,0,0.57327396
54,2,7,1,2,1,1,40,1.0,1.0,0.3461879,1.0,0.25338638,0,0.5737765
21,2,7,3,0,1,1,55,0.0,0.0,0.9763767,0.0,0.9754795,0,0.5743594
56,2,2,1,2,1,1,50,0.0,1.0,0.09681147,1.0,0.14073175,0,0.5758528
35,3,5,1,2,1,1,65,1.0,1.0,0.13658524,1.0,0.0796383,0,0.57481986
46,2,7,1,5,1,1,40,0.0,1.0,0.4063685,0.0,0.5403364,0,0.5730715
36,3,7,0,3,1,0,35,0.0,0.0,0.9732817,0.0,0.94309026,0,0.57301545
20,2,7,3,0,1,0,40,0.0,0.0,0.9916028,0.0,0.9967646,0,0.5760761
29,2,3,3,0,1,1,40,0.0,0.0,0.98658365,0.0,0.9947606,0,0.57379484
37,2,7,0,4,0,0,40,0.0,0.0,0.96972215,0.0,0.93552387,0,0.5735798
17,2,6,3,0,1,1,16,0.0,0.0,0.9999948,0.0,0.997246,0,0.57838243
32,2,3,0,0,1,0,38,0.0,0.0,0.9829641,0.0,0.9577533,0,0.57305986
23,2,3,3,5,1,1,40,0.0,0.0,0.9836272,0.0,0.9948027,0,0.5741962
45,3,4,0,3,1,0,42,1.0,0.0,0.76289195,0.0,0.884664,0,0.5727928
26,2,3,3,0,1,1,40,0.0,0.0,0.9893839,0.0,0.9960805,0,0.57378185
31,2,3,0,4,1,0,99,1.0,0.0,0.8740908,0.0,0.9008503,0,0.5736416
79,2,7,1,2,1,1,20,0.0,1.0,0.3905319,1.0,0.45059353,0,0.5732801
49,2,3,0,4,1,0,40,0.0,0.0,0.9535075,0.0,0.9270467,0,0.5730459
42,2,1,1,3,1,1,40,1.0,1.0,0.29709387,1.0,0.37187648,0,0.57327324
67,2,4,1,3,1,1,30,1.0,1.0,0.20177239,0.0,0.59103847,0,0.57333213
35,2,2,1,5,1,1,45,1.0,1.0,0.128196,1.0,0.19776016,0,0.57528204
44,2,1,0,5,1,1,50,1.0,0.0,0.5527679,0.0,0.66407514,0,0.5729902
31,2,3,1,0,1,1,40,0.0,0.0,0.8286172,0.0,0.7531891,0,0.5733152
37,0,1,0,2,1,0,55,0.0,0.0,0.77467364,0.0,0.6223923,0,0.5730103
22,0,0,3,5,1,1,40,0.0,0.0,0.96527463,0.0,0.95892566,0,0.57914376
34,2,7,1,0,1,1,40,0.0,0.0,0.7083583,0.0,0.70239,0,0.5732402
45,2,3,0,0,1,1,40,0.0,0.0,0.9495565,0.0,0.9128559,0,0.57312214
51,2,3,1,0,0,1,40,0.0,0.0,0.7729552,0.0,0.70734715,0,0.5733764
28,2,6,1,5,1,0,40,0.0,0.0,0.90841514,0.0,0.97144294,0,0.5766076
38,2,0,0,5,0,0,40,0.0,0.0,0.9345505,0.0,0.8942881,0,0.57686627
40,2,6,0,0,1,0,40,0.0,0.0,0.99066764,0.0,0.94342476,0,0.5725371
50,2,7,1,4,1,1,60,1.0,1.0,0.36623257,1.0,0.3283788,0,0.5743193
33,2,6,0,0,1,1,40,0.0,0.0,0.98709416,0.0,0.94378716,0,0.5725066
49,2,1,1,5,1,1,40,0.0,1.0,0.2106229,1.0,0.38902092,0,0.5734003
44,2,0,0,0,1,0,45,0.0,0.0,0.917444,0.0,0.85209537,0,0.5744133
23,2,3,1,4,1,1,50,0.0,0.0,0.7889869,0.0,0.69824374,0,0.57364666
20,2,3,3,0,1,1,40,0.0,0.0,0.9949618,0.0,0.9984425,0,0.5742158
32,2,3,1,4,1,0,20,0.0,0.0,0.92835057,0.0,0.78902286,0,0.57363635
64,2,6,0,4,1,0,12,0.0,0.0,0.99313796,0.0,0.99763507,0,0.57392985
28,2,1,1,2,1,1,40,0.0,1.0,0.3676386,1.0,0.24969661,0,0.5734714
47,0,6,1,0,1,1,40,0.0,0.0,0.8867301,0.0,0.92906976,0,0.5730557
37,2,7,0,5,1,0,40,0.0,0.0,0.94033563,0.0,0.9251537,0,0.5728838
47,3,3,1,0,1,1,48,0.0,0.0,0.6850054,0.0,0.792568,0,0.5727938
59,1,6,0,1,1,0,40,0.0,0.0,0.98261744,0.0,0.98981607,0,0.57421595
22,2,7,3,2,1,0,20,0.0,0.0,0.9907135,0.0,0.9840843,0,0.574589
47,2,6,1,0,1,1,40,1.0,0.0,0.87682736,0.0,0.8808141,0,0.5732086
26,2,0,3,4,1,1,40,0.0,0.0,0.9770976,0.0,0.9720951,0,0.5775475
44,2,0,1,2,1,1,50,1.0,1.0,0.28323323,1.0,0.4470883,0,0.576064
33,2,3,3,0,1,0,40,0.0,0.0,0.9850791,0.0,0.99277616,0,0.57371247
46,2,7,0,5,1,0,40,0.0,0.0,0.9215471,0.0,0.9066427,0,0.57289827
50,2,1,1,0,1,1,40,0.0,1.0,0.37705308,0.0,0.5686334,0,0.57335967
44,2,5,1,2,1,1,50,1.0,1.0,0.10388893,1.0,0.15166551,0,0.575043
21,2,3,3,0,1,1,40,0.0,0.0,0.99401194,0.0,0.9980644,0,0.57407534
33,2,7,0,0,1,1,40,0.0,0.0,0.9477981,0.0,0.87724745,0,0.57332635
28,2,7,3,0,1,1,50,0.0,0.0,0.9585902,0.0,0.9495938,0,0.57370263
29,2,1,1,5,1,1,50,1.0,1.0,0.27071613,1.0,0.3184229,0,0.5732652
41,0,3,1,0,0,1,40,0.0,0.0,0.748017,0.0,0.7691462,0,0.5731525
19,2,6,3,4,1,0,40,0.0,0.0,0.9988058,0.0,0.995443,0,0.577473
62,2,1,1,3,1,1,20,1.0,1.0,0.3310011,0.0,0.683422,0,0.57344055
50,2,3,1,0,1,1,45,1.0,0.0,0.6222787,0.0,0.6515595,0,0.57350653
21,0,7,3,4,1,1,40,0.0,0.0,0.9860681,0.0,0.9828275,0,0.5753205
60,2,3,1,3,1,1,40,1.0,1.0,0.45766532,0.0,0.662274,0,0.5732453
30,2,7,1,0,1,1,40,0.0,0.0,0.7469875,0.0,0.74158794,0,0.5732222
47,2,3,1,3,1,1,50,1.0,1.0,0.42174667,0.0,0.5695071,0,0.57300454
52,0,1,4,5,1,0,55,0.0,0.0,0.76219285,1.0,0.3561712,0,0.57376754
36,2,5,3,5,1,1,50,1.0,0.0,0.53703344,0.0,0.7935004,0,0.57489675
67,1,6,4,1,0,0,40,0.0,0.0,0.9833274,0.0,0.98573667,0,0.5804977
25,2,1,1,5,1,1,40,1.0,1.0,0.444937,1.0,0.43930256,0,0.57336354
22,2,6,2,4,1,0,35,0.0,0.0,0.99800974,0.0,0.98664135,0,0.5755427
49,2,6,2,0,1,1,38,0.0,0.0,0.9870836,0.0,0.93528306,0,0.5733874
38,2,4,1,0,0,1,40,1.0,1.0,0.44063306,1.0,0.436629,0,0.57340384
54,3,3,1,3,0,1,40,0.0,0.0,0.65308785,0.0,0.6749363,0,0.5727427
63,2,1,1,5,1,1,40,0.0,1.0,0.16263956,1.0,0.24427652,0,0.5734598
67,1,6,4,1,1,0,35,0.0,0.0,0.9855011,0.0,0.97861695,0,0.58057743
22,2,7,3,0,1,1,35,0.0,0.0,0.9951635,0.0,0.998625,0,0.5780021
39,0,1,3,5,1,1,45,0.0,0.0,0.7812451,0.0,0.80422485,0,0.5735972
31,2,1,1,3,1,1,60,0.0,1.0,0.27679217,1.0,0.31349748,0,0.57289857
57,2,7,1,0,1,1,40,1.0,0.0,0.5520259,0.0,0.60314596,0,0.57328534
22,2,1,3,2,1,1,40,0.0,0.0,0.9254446,0.0,0.87122905,0,0.5738252
42,2,0,1,5,1,1,40,1.0,1.0,0.4076823,1.0,0.48303944,0,0.57727486
19,2,3,3,4,1,0,20,0.0,0.0,0.9985363,0.0,0.99682283,0,0.5758022
17,0,6,3,4,1,1,30,0.0,0.0,0.9999761,0.0,0.99859345,0,0.57742894
28,3,7,1,0,1,1,55,0.0,0.0,0.68366957,0.0,0.6776945,0,0.5726019
46,0,3,0,2,1,0,40,0.0,0.0,0.91115344,0.0,0.8525692,0,0.5729044
45,2,7,0,0,1,1,56,1.0,0.0,0.84834355,0.0,0.84986675,0,0.5730858
20,2,7,2,3,0,0,40,0.0,0.0,0.98262984,0.0,0.8265715,0,0.57317686
32,2,3,3,4,0,0,40,0.0,0.0,0.9884125,0.0,0.9974765,0,0.5742125
67,2,3,4,5,1,0,16,1.0,0.0,0.9492099,0.0,0.99026185,0,0.5752324
52,2,3,1,0,0,1,40,1.0,0.0,0.7683141,0.0,0.7071445,0,0.573379
35,2,3,1,3,1,1,44,0.0,0.0,0.6068673,0.0,0.53639174,0,0.57306075
43,2,3,0,5,1,0,58,0.0,0.0,0.89113724,0.0,0.7907137,0,0.57294744
29,2,0,3,0,1,1,40,0.0,0.0,0.96161586,0.0,0.951694,0,0.5755362
42,2,7,1,2,1,1,40,1.0,1.0,0.42393464,1.0,0.22456431,0,0.5736205
68,1,3,4,1,1,1,32,0.0,0.0,0.9587268,0.0,0.914759,0,0.5799069
29,2,3,2,4,0,0,30,0.0,0.0,0.98457116,0.0,0.885147,0,0.57322633
40,2,7,0,5,1,1,40,0.0,0.0,0.8728217,0.0,0.92177993,0,0.57288784
30,2,1,1,3,1,1,20,0.0,0.0,0.63550603,0.0,0.8286998,0,0.5733458
61,3,7,1,5,1,1,50,1.0,1.0,0.30305648,1.0,0.49794483,0,0.5729542
46,2,7,1,0,0,1,40,0.0,0.0,0.6840378,0.0,0.62523824,0,0.5732591
51,2,3,1,0,1,1,40,0.0,0.0,0.70427907,0.0,0.70734715,0,0.5733764
42,2,1,1,5,1,1,40,1.0,1.0,0.25445032,1.0,0.46147442,0,0.5733448
25,2,6,3,0,0,1,40,0.0,0.0,0.9966294,0.0,0.992502,0,0.57624745
49,2,1,1,3,1,1,50,1.0,1.0,0.19721466,1.0,0.29957676,0,0.5729896
58,2,6,1,0,1,1,40,1.0,0.0,0.8537122,0.0,0.88046,0,0.5731618
56,3,1,1,3,1,1,50,1.0,1.0,0.23570561,1.0,0.36972588,0,0.5728267
51,3,1,0,0,1,1,50,0.0,0.0,0.7502411,0.0,0.9147579,0,0.57270527
66,1,6,3,1,1,1,30,0.0,0.0,0.9900343,0.0,0.9934753,0,0.5811749
38,2,3,1,3,1,1,55,1.0,1.0,0.47637206,0.0,0.52944577,0,0.57302594
53,3,7,4,3,1,0,60,0.0,0.0,0.8697158,0.0,0.9077914,0,0.57498735
17,2,6,3,4,1,0,30,0.0,0.0,0.99998266,0.0,0.9979812,0,0.57648474
28,0,0,1,5,1,1,60,0.0,1.0,0.41875398,0.0,0.5614341,0,0.5767422
