age,workclass,education,marital_status,occupation,race,gender,hours_per_week,income,GD,GD_proba
27,2,7,0,5,1,0,44,0.0,0,0.5842375
27,2,1,3,2,1,0,40,0.0,0,0.58484185
25,2,0,1,3,1,1,40,0.0,0,0.5847309
46,2,6,1,0,0,1,40,0.0,0,0.5829343
45,2,6,0,0,1,1,76,1.0,0,0.5838014
29,2,1,1,2,1,1,75,0.0,0,0.583374
42,0,3,2,4,0,0,60,0.0,0,0.58419144
34,2,7,0,5,1,0,50,0.0,0,0.5836038
60,0,0,0,2,1,1,40,1.0,0,0.58377445
19,2,7,3,5,1,0,40,0.0,0,0.58459634
21,2,0,3,5,1,0,8,0.0,0,0.584491
31,2,4,3,2,1,0,46,0.0,0,0.584795
53,2,4,1,5,1,1,45,1.0,0,0.5844026
35,1,3,1,1,1,0,25,0.0,0,0.5842797
51,0,4,0,5,1,0,40,0.0,0,0.58378303
31,0,1,0,4,1,1,50,1.0,0,0.5842862
37,2,7,1,0,1,1,52,0.0,0,0.58408785
29,2,2,1,2,0,1,60,0.0,0,0.58665663
68,1,3,1,1,1,1,15,0.0,0,0.584386
24,2,3,1,0,1,1,40,0.0,0,0.58391273
46,2,6,2,0,1,0,40,0.0,0,0.58620083
53,2,7,1,0,0,1,40,1.0,0,0.58429533
54,2,7,1,2,1,1,40,1.0,0,0.5841151
21,2,7,3,0,1,1,55,0.0,0,0.5859445
56,2,2,1,2,1,1,50,0.0,0,0.58498424
35,3,5,1,2,1,1,65,1.0,0,0.58618593
46,2,7,1,5,1,1,40,0.0,0,0.58359116
36,3,7,0,3,1,0,35,0.0,0,0.58468914
20,2,7,3,0,1,0,40,0.0,0,0.58676505
29,2,3,3,0,1,1,40,0.0,0,0.5845716
37,2,7,0,4,0,0,40,0.0,0,0.58350885
17,2,6,3,0,1,1,16,0.0,0,0.5836895
32,2,3,0,0,1,0,38,0.0,0,0.58373594
23,2,3,3,5,1,1,40,0.0,0,0.5845914
45,3,4,0,3,1,0,42,1.0,0,0.5840887
26,2,3,3,0,1,1,40,0.0,0,0.5845744
31,2,3,0,4,1,0,99,1.0,0,0.58414775
79,2,7,1,2,1,1,20,0.0,0,0.58359295
49,2,3,0,4,1,0,40,0.0,0,0.58411103
42,2,1,1,3,1,1,40,1.0,0,0.5842128
67,2,4,1,3,1,1,30,1.0,0,0.5839426
35,2,2,1,5,1,1,45,1.0,0,0.5840284
44,2,1,0,5,1,1,50,1.0,0,0.5832109
31,2,3,1,0,1,1,40,0.0,0,0.5840226
37,0,1,0,2,1,0,55,0.0,0,0.5842438
22,0,0,3,5,1,1,40,0.0,0,0.5835256
34,2,7,1,0,1,1,40,0.0,0,0.58432823
45,2,3,0,0,1,1,40,0.0,0,0.5838426
51,2,3,1,0,0,1,40,0.0,0,0.58402467
28,2,6,1,5,1,0,40,0.0,0,0.58461636
38,2,0,0,5,0,0,40,0.0,0,0.58417666
40,2,6,0,0,1,0,40,0.0,0,0.58396274
50,2,7,1,4,1,1,60,1.0,0,0.58391607
33,2,6,0,0,1,1,40,0.0,0,0.5842081
49,2,1,1,5,1,1,40,0.0,0,0.5832444
44,2,0,0,0,1,0,45,0.0,0,0.5832554
