age,workclass,education,marital_status,occupation,race,gender,hours_per_week,income,AL_prediction,AL_prediction_proba,GL_prediction,GL_prediction_proba,GD_prediction,GD_prediction_proba
27,2,7,0,5,1,0,44,0.0,0.0,0.92075026,0.0,0.8146164,0,0.9833166
27,2,1,3,2,1,0,40,0.0,0.0,0.9164624,0.0,0.936943,0,0.983331
25,2,0,1,3,1,1,40,0.0,0.0,0.80547345,0.0,0.7594372,1,0.04578744
46,2,6,1,0,0,1,40,0.0,0.0,0.83610094,0.0,0.8806366,1,0.42356926
45,2,6,0,0,1,1,76,1.0,0.0,0.95021844,0.0,0.9389754,0,0.9284566
29,2,1,1,2,1,1,75,0.0,1.0,0.29796475,0.0,0.52682036,1,0.020722149
42,0,3,2,4,0,0,60,0.0,0.0,0.9410138,0.0,0.9675627,0,0.98432136
34,2,7,0,5,1,0,50,0.0,0.0,0.8602684,0.0,0.8172437,0,0.98305434
60,0,0,0,2,1,1,40,1.0,0.0,0.8779601,0.0,0.8838076,0,0.97953564
19,2,7,3,5,1,0,40,0.0,0.0,0.99513656,0.0,0.96986234,0,0.98458856
21,2,0,3,5,1,0,8,0.0,0.0,0.9980479,0.0,0.97201115,0,0.98602825
31,2,4,3,2,1,0,46,0.0,0.0,0.7626531,0.0,0.622596,0,0.7693152
53,2,4,1,5,1,1,45,1.0,1.0,0.11837083,1.0,0.15957314,1,0.004768252
35,1,3,1,1,1,0,25,0.0,0.0,0.83582675,0.0,0.8089796,0,0.9840223
51,0,4,0,5,1,0,40,0.0,0.0,0.6759685,0.0,0.67738605,1,0.02035873
31,0,1,0,4,1,1,50,1.0,0.0,0.7994376,0.0,0.731719,0,0.9808766
37,2,7,1,0,1,1,52,0.0,0.0,0.5621103,1.0,0.4432251,1,0.14762321
29,2,2,1,2,0,1,60,0.0,1.0,0.32130206,1.0,0.27847916,1,0.011810287
68,1,3,1,1,1,1,15,0.0,0.0,0.80600214,0.0,0.8851542,0,0.9830951
24,2,3,1,0,1,1,40,0.0,0.0,0.90752363,0.0,0.8002802,0,0.9833161
46,2,6,2,0,1,0,40,0.0,0.0,0.9952853,0.0,0.97742575,0,0.9843217
53,2,7,1,0,0,1,40,1.0,0.0,0.6533937,1.0,0.44451976,0,0.9363239
54,2,7,1,2,1,1,40,1.0,1.0,0.36694354,1.0,0.42432827,1,0.10840929
21,2,7,3,0,1,1,55,0.0,0.0,0.9827724,0.0,0.9211771,0,0.9836843
56,2,2,1,2,1,1,50,0.0,1.0,0.10149884,1.0,0.15829027,1,0.011172741
35,3,5,1,2,1,1,65,1.0,1.0,0.090315044,1.0,0.25653654,1,0.00476518
46,2,7,1,5,1,1,40,0.0,1.0,0.38112146,1.0,0.3087867,1,0.014055806
36,3,7,0,3,1,0,35,0.0,0.0,0.93738955,0.0,0.99706686,0,0.97731054
20,2,7,3,0,1,0,40,0.0,0.0,0.99569553,0.0,0.9606468,0,0.98354566
29,2,3,3,0,1,1,40,0.0,0.0,0.97502166,0.0,0.96533656,0,0.9838282
37,2,7,0,4,0,0,40,0.0,0.0,0.9698751,0.0,0.8424628,0,0.9845377
17,2,6,3,0,1,1,16,0.0,0.0,0.9999993,0.0,0.9887968,0,0.98363435
32,2,3,0,0,1,0,38,0.0,0.0,0.9773141,0.0,0.9554072,0,0.9842477
23,2,3,3,5,1,1,40,0.0,0.0,0.9873248,0.0,0.96470886,0,0.984643
45,3,4,0,3,1,0,42,1.0,0.0,0.6313634,0.0,0.94582975,1,0.0045679025
26,2,3,3,0,1,1,40,0.0,0.0,0.9832463,0.0,0.9654815,0,0.98393285
31,2,3,0,4,1,0,99,1.0,0.0,0.9213193,0.0,0.57197255,0,0.9818179
79,2,7,1,2,1,1,20,0.0,1.0,0.47947347,1.0,0.47630566,0,0.97592396
49,2,3,0,4,1,0,40,0.0,0.0,0.96095663,0.0,0.9449758,0,0.98393387
42,2,1,1,3,1,1,40,1.0,1.0,0.29593724,1.0,0.4873436,1,0.02088024
67,2,4,1,3,1,1,30,1.0,1.0,0.3036089,1.0,0.119987965,1,0.005936619
35,2,2,1,5,1,1,45,1.0,1.0,0.14487505,1.0,0.22607005,1,0.0046599465
44,2,1,0,5,1,1,50,1.0,0.0,0.6958082,0.0,0.86242986,0,0.9816234
31,2,3,1,0,1,1,40,0.0,0.0,0.82466507,0.0,0.79436857,0,0.9832549
37,0,1,0,2,1,0,55,0.0,0.0,0.6484151,0.0,0.78007907,0,0.96677667
22,0,0,3,5,1,1,40,0.0,0.0,0.98257565,0.0,0.95337784,0,0.982621
34,2,7,1,0,1,1,40,0.0,0.0,0.6765964,0.0,0.6448854,0,0.97680146
45,2,3,0,0,1,1,40,0.0,0.0,0.9393037,0.0,0.95405734,0,0.9844163
51,2,3,1,0,0,1,40,0.0,0.0,0.75942385,0.0,0.7540734,0,0.9830268
28,2,6,1,5,1,0,40,0.0,0.0,0.874908,0.0,0.64901066,1,0.024515985
38,2,0,0,5,0,0,40,0.0,0.0,0.9190519,0.0,0.8699347,0,0.9841097
40,2,6,0,0,1,0,40,0.0,0.0,0.9814494,0.0,0.9692977,0,0.984396
50,2,7,1,4,1,1,60,1.0,1.0,0.35914654,1.0,0.38773286,1,0.064909585
33,2,6,0,0,1,1,40,0.0,0.0,0.97885823,0.0,0.9703473,0,0.9836992
49,2,1,1,5,1,1,40,0.0,1.0,0.213067,1.0,0.42024642,1,0.01050318
44,2,0,0,0,1,0,45,0.0,0.0,0.9168777,0.0,0.9510466,0,0.98259497
23,2,3,1,4,1,1,50,0.0,0.0,0.83140457,0.0,0.6774254,0,0.9832314
20,2,3,3,0,1,1,40,0.0,0.0,0.9951789,0.0,0.96877104,0,0.9841351
32,2,3,1,4,1,0,20,0.0,0.0,0.91949326,0.0,0.94534504,0,0.9837606
64,2,6,0,4,1,0,12,0.0,0.0,0.99484056,0.0,0.9962224,0,0.9779537
28,2,1,1,2,1,1,40,0.0,1.0,0.45020252,1.0,0.3650192,1,0.09084322
47,0,6,1,0,1,1,40,0.0,0.0,0.8906779,0.0,0.82341266,1,0.019221885
