age,workclass,education,marital_status,occupation,race,gender,hours_per_week,income,AL_prediction,AL_prediction_proba,GL_prediction,GL_prediction_proba,GD_prediction,GD_prediction_proba
27,2,7,0,5,1,0,44,0.0,0.0,0.92074776,0.0,0.9287666,0,0.8899713
27,2,1,3,2,1,0,40,0.0,0.0,0.91645736,0.0,0.8955803,0,0.88161093
25,2,0,1,3,1,1,40,0.0,0.0,0.8054543,0.0,0.6382524,1,0.33506784
46,2,6,1,0,0,1,40,0.0,0.0,0.8361007,0.0,0.61442196,1,0.32503092
45,2,6,0,0,1,1,76,1.0,0.0,0.9502154,0.0,0.835614,0,0.9136289
29,2,1,1,2,1,1,75,0.0,1.0,0.29797703,1.0,0.48167658,1,0.32363763
42,0,3,2,4,0,0,60,0.0,0.0,0.9410095,0.0,0.99794817,0,0.899985
34,2,7,0,5,1,0,50,0.0,0.0,0.8602709,0.0,0.92771846,0,0.88719386
60,0,0,0,2,1,1,40,1.0,0.0,0.8779891,0.0,0.52829885,0,0.87614185
19,2,7,3,5,1,0,40,0.0,0.0,0.9951366,0.0,0.9527372,0,0.8619763
21,2,0,3,5,1,0,8,0.0,0.0,0.9980482,0.0,0.9791199,0,0.8808816
31,2,4,3,2,1,0,46,0.0,0.0,0.7626306,0.0,0.7319998,0,0.8537171
53,2,4,1,5,1,1,45,1.0,1.0,0.11837381,1.0,0.3842824,1,0.31928205
35,1,3,1,1,1,0,25,0.0,0.0,0.8358289,0.0,0.7320857,1,0.31618547
51,0,4,0,5,1,0,40,0.0,0.0,0.6759782,0.0,0.8754735,0,0.8192592
31,0,1,0,4,1,1,50,1.0,0.0,0.799411,0.0,0.6921475,0,0.89202553
37,2,7,1,0,1,1,52,0.0,0.0,0.562119,0.0,0.7338133,1,0.33956257
29,2,2,1,2,0,1,60,0.0,1.0,0.32125866,1.0,0.39424598,1,0.31970558
68,1,3,1,1,1,1,15,0.0,0.0,0.8060012,0.0,0.5510849,1,0.32478654
24,2,3,1,0,1,1,40,0.0,0.0,0.90752,0.0,0.7071959,1,0.3338829
46,2,6,2,0,1,0,40,0.0,0.0,0.9952851,0.0,0.9460279,0,0.9265658
53,2,7,1,0,0,1,40,1.0,0.0,0.65339863,0.0,0.67795134,1,0.33288085
54,2,7,1,2,1,1,40,1.0,1.0,0.36692452,1.0,0.4401728,1,0.3285826
21,2,7,3,0,1,1,55,0.0,0.0,0.9827717,0.0,0.9919985,0,0.8414969
56,2,2,1,2,1,1,50,0.0,1.0,0.10149914,1.0,0.36317468,1,0.31854305
35,3,5,1,2,1,1,65,1.0,1.0,0.09031612,1.0,0.4745283,1,0.32303914
46,2,7,1,5,1,1,40,0.0,1.0,0.3811187,1.0,0.45531726,1,0.32975882
36,3,7,0,3,1,0,35,0.0,0.0,0.93737835,0.0,0.98507106,0,0.9048378
20,2,7,3,0,1,0,40,0.0,0.0,0.9956956,0.0,0.99547476,0,0.85573584
29,2,3,3,0,1,1,40,0.0,0.0,0.9750204,0.0,0.9744724,0,0.95168185
37,2,7,0,4,0,0,40,0.0,0.0,0.96987677,0.0,0.95653677,0,0.90184766
17,2,6,3,0,1,1,16,0.0,0.0,0.9999993,0.0,0.99858886,0,0.9751458
32,2,3,0,0,1,0,38,0.0,0.0,0.97731483,0.0,0.98312336,0,0.91999954
23,2,3,3,5,1,1,40,0.0,0.0,0.9873235,0.0,0.95047295,0,0.87539595
45,3,4,0,3,1,0,42,1.0,0.0,0.63133657,0.0,0.6306974,0,0.9496224
26,2,3,3,0,1,1,40,0.0,0.0,0.9832455,0.0,0.9821449,0,0.9472535
31,2,3,0,4,1,0,99,1.0,0.0,0.9213488,0.0,0.5571802,0,0.87330526
79,2,7,1,2,1,1,20,0.0,1.0,0.4794981,0.0,0.5398775,1,0.31670457
