age,workclass,education,marital_status,occupation,race,gender,hours_per_week,income,AL_prediction,AL_prediction_proba,GL_prediction,GL_prediction_proba,GD_prediction,GD_prediction_proba
27,2,7,0,5,1,0,44,0.0,0.0,0.9207455,0.0,0.9575681,0,0.82760036
27,2,1,3,2,1,0,40,0.0,0.0,0.91646254,0.0,0.8656988,1,0.33434492
25,2,0,1,3,1,1,40,0.0,0.0,0.80547416,0.0,0.75978243,1,0.33510062
46,2,6,1,0,0,1,40,0.0,0.0,0.836097,0.0,0.7983002,1,0.34506363
45,2,6,0,0,1,1,76,1.0,0.0,0.95021945,0.0,0.58132213,0,0.7547359
29,2,1,1,2,1,1,75,0.0,1.0,0.29797238,1.0,0.3393516,1,0.34012574
42,0,3,2,4,0,0,60,0.0,0.0,0.94100314,0.0,0.9926892,0,0.8437646
34,2,7,0,5,1,0,50,0.0,0.0,0.86026704,0.0,0.93470544,0,0.8246294
60,0,0,0,2,1,1,40,1.0,0.0,0.87797683,0.0,0.866907,0,0.90845895
19,2,7,3,5,1,0,40,0.0,0.0,0.99513704,0.0,0.98424345,0,0.7965525
21,2,0,3,5,1,0,8,0.0,0.0,0.9980481,0.0,0.99166334,0,0.60871893
31,2,4,3,2,1,0,46,0.0,0.0,0.7626472,0.0,0.7572652,0,0.7574527
53,2,4,1,5,1,1,45,1.0,1.0,0.11837196,1.0,0.1908409,1,0.32968467
35,1,3,1,1,1,0,25,0.0,0.0,0.8358436,0.0,0.84994125,0,0.6900729
51,0,4,0,5,1,0,40,0.0,0.0,0.67599344,0.0,0.9231732,0,0.9070051
31,0,1,0,4,1,1,50,1.0,0.0,0.7994194,1.0,0.46764475,0,0.980552
37,2,7,1,0,1,1,52,0.0,0.0,0.56210977,0.0,0.6691662,0,0.55001074
29,2,2,1,2,0,1,60,0.0,1.0,0.321284,0.0,0.54815847,1,0.3317913
68,1,3,1,1,1,1,15,0.0,0.0,0.80601746,0.0,0.523067,0,0.50842166
24,2,3,1,0,1,1,40,0.0,0.0,0.90752745,0.0,0.85221475,0,0.6291093
46,2,6,2,0,1,0,40,0.0,0.0,0.9952845,0.0,0.99705815,1,0.3865526
53,2,7,1,0,0,1,40,1.0,0.0,0.65340316,1.0,0.4572202,1,0.46114996
54,2,7,1,2,1,1,40,1.0,1.0,0.36693102,1.0,0.3859473,0,0.63218135
21,2,7,3,0,1,1,55,0.0,0.0,0.9827727,0.0,0.93983656,0,0.7233171
56,2,2,1,2,1,1,50,0.0,1.0,0.10149759,1.0,0.33742958,1,0.34459034
35,3,5,1,2,1,1,65,1.0,1.0,0.09031522,1.0,0.15566301,1,0.3318028
46,2,7,1,5,1,1,40,0.0,1.0,0.3811478,1.0,0.43063396,0,0.66711426
36,3,7,0,3,1,0,35,0.0,0.0,0.93738556,0.0,0.99565613,0,0.82859683
20,2,7,3,0,1,0,40,0.0,0.0,0.9956958,0.0,0.9928994,0,0.77839184
29,2,3,3,0,1,1,40,0.0,0.0,0.97502255,0.0,0.9714939,0,0.79174894
37,2,7,0,4,0,0,40,0.0,0.0,0.96987444,0.0,0.98975646,0,0.87667763
17,2,6,3,0,1,1,16,0.0,0.0,0.9999993,0.0,0.99999815,0,0.84610873
32,2,3,0,0,1,0,38,0.0,0.0,0.97731614,0.0,0.9670721,0,0.87501764
23,2,3,3,5,1,1,40,0.0,0.0,0.9873259,0.0,0.971656,0,0.8116652
45,3,4,0,3,1,0,42,1.0,0.0,0.63134736,0.0,0.698215,0,0.8441481
26,2,3,3,0,1,1,40,0.0,0.0,0.9832472,0.0,0.97936296,0,0.79093736
31,2,3,0,4,1,0,99,1.0,0.0,0.92135334,0.0,0.64415276,0,0.77039164
79,2,7,1,2,1,1,20,0.0,1.0,0.4795159,1.0,0.2295376,0,0.50075066
49,2,3,0,4,1,0,40,0.0,0.0,0.9609563,0.0,0.9810258,0,0.7635969
42,2,1,1,3,1,1,40,1.0,1.0,0.29595578,0.0,0.58138674,1,0.31523186
67,2,4,1,3,1,1,30,1.0,1.0,0.30364192,1.0,0.3949473,1,0.46269208
35,2,2,1,5,1,1,45,1.0,1.0,0.14485878,0.0,0.5955169,1,0.32697138
44,2,1,0,5,1,1,50,1.0,0.0,0.6957976,1.0,0.38645148,0,0.8193906
31,2,3,1,0,1,1,40,0.0,0.0,0.82467043,0.0,0.7751684,0,0.5433534
37,0,1,0,2,1,0,55,0.0,0.0,0.6484045,0.0,0.9826469,0,0.98691976
22,0,0,3,5,1,1,40,0.0,0.0,0.9825768,0.0,0.95823205,0,0.59402263
34,2,7,1,0,1,1,40,0.0,0.0,0.67660856,0.0,0.6351205,0,0.5329435
45,2,3,0,0,1,1,40,0.0,0.0,0.9393055,0.0,0.94595754,0,0.7970712
51,2,3,1,0,0,1,40,0.0,0.0,0.7594205,0.0,0.64141095,1,0.44335422
28,2,6,1,5,1,0,40,0.0,0.0,0.8748997,0.0,0.66413915,1,0.33955026
38,2,0,0,5,0,0,40,0.0,0.0,0.9190515,0.0,0.97482574,0,0.80967784
40,2,6,0,0,1,0,40,0.0,0.0,0.9814493,0.0,0.950818,0,0.7952276
50,2,7,1,4,1,1,60,1.0,1.0,0.35917586,1.0,0.3836695,0,0.6001266
33,2,6,0,0,1,1,40,0.0,0.0,0.9788593,0.0,0.9805209,0,0.79830134
49,2,1,1,5,1,1,40,0.0,1.0,0.21307337,1.0,0.37384242,1,0.33911878
44,2,0,0,0,1,0,45,0.0,0.0,0.91687936,0.0,0.75653124,0,0.5889327
23,2,3,1,4,1,1,50,0.0,0.0,0.8314353,0.0,0.78337973,1,0.37060136
20,2,3,3,0,1,1,40,0.0,0.0,0.99517965,0.0,0.9873159,0,0.80990505
32,2,3,1,4,1,0,20,0.0,0.0,0.9195008,0.0,0.90873843,0,0.6535469
64,2,6,0,4,1,0,12,0.0,0.0,0.9948408,0.0,0.9691635,0,0.8568817
28,2,1,1,2,1,1,40,0.0,1.0,0.45022613,1.0,0.49112338,1,0.3419956
47,0,6,1,0,1,1,40,0.0,0.0,0.89068264,0.0,0.7086681,1,0.43797168
37,2,7,0,5,1,0,40,0.0,0.0,0.8905566,0.0,0.9222879,0,0.82398003
47,3,3,1,0,1,1,48,0.0,0.0,0.71889615,0.0,0.73110497,0,0.5704197
59,1,6,0,1,1,0,40,0.0,0.0,0.97317964,0.0,0.90324324,0,0.94053316
22,2,7,3,2,1,0,20,0.0,0.0,0.9944991,0.0,0.98963994,0,0.7825555
47,2,6,1,0,1,1,40,1.0,0.0,0.8196239,0.0,0.7991362,1,0.34501308
26,2,0,3,4,1,1,40,0.0,0.0,0.9686434,0.0,0.9724059,1,0.3312548
44,2,0,1,2,1,1,50,1.0,1.0,0.38111037,1.0,0.4831174,1,0.34821454
33,2,3,3,0,1,0,40,0.0,0.0,0.97313136,0.0,0.97795033,0,0.7875683
46,2,7,0,5,1,0,40,0.0,0.0,0.8674037,0.0,0.93889785,0,0.82584125
50,2,1,1,0,1,1,40,0.0,1.0,0.42084938,0.0,0.6924335,1,0.34453058
44,2,5,1,2,1,1,50,1.0,1.0,0.0534634,1.0,0.09821141,1,0.2996195
21,2,3,3,0,1,1,40,0.0,0.0,0.9935689,0.0,0.98669827,0,0.80225474
33,2,7,0,0,1,1,40,0.0,0.0,0.9383251,0.0,0.9770635,0,0.82536393
28,2,7,3,0,1,1,50,0.0,0.0,0.95561796,0.0,0.9112972,0,0.72553915
29,2,1,1,5,1,1,50,1.0,1.0,0.3139243,1.0,0.3941667,1,0.33972612
41,0,3,1,0,0,1,40,0.0,0.0,0.7082007,0.0,0.7492316,1,0.46142927
19,2,6,3,4,1,0,40,0.0,0.0,0.9994652,0.0,0.99608177,1,0.44976494
62,2,1,1,3,1,1,20,1.0,1.0,0.4677127,0.0,0.54231256,1,0.32130933
50,2,3,1,0,1,1,45,1.0,0.0,0.61131024,0.0,0.5929655,1,0.43130615
21,0,7,3,4,1,1,40,0.0,0.0,0.99226385,0.0,0.99627197,0,0.8169074
60,2,3,1,3,1,1,40,1.0,1.0,0.4633568,0.0,0.63181156,0,0.57151306
30,2,7,1,0,1,1,40,0.0,0.0,0.7436054,0.0,0.67890656,0,0.5697539
47,2,3,1,3,1,1,50,1.0,1.0,0.40220946,0.0,0.5737156,0,0.5914233
52,0,1,4,5,1,0,55,0.0,0.0,0.5257325,0.0,0.9771385,0,0.88267595
36,2,5,3,5,1,1,50,1.0,1.0,0.2819587,1.0,0.4120112,1,0.48594084
67,1,6,4,1,0,0,40,0.0,0.0,0.9793382,0.0,0.91073126,0,0.5136344
25,2,1,1,5,1,1,40,1.0,1.0,0.4761067,0.0,0.54502165,1,0.34220207
22,2,6,2,4,1,0,35,0.0,0.0,0.9995339,0.0,0.9769943,0,0.84222806
49,2,6,2,0,1,1,38,0.0,0.0,0.9943956,0.0,0.9969106,0,0.53949696
38,2,4,1,0,0,1,40,1.0,1.0,0.30750751,0.0,0.7223241,1,0.35573068
54,3,3,1,3,0,1,40,0.0,0.0,0.64065576,0.0,0.78588057,0,0.69298065
63,2,1,1,5,1,1,40,0.0,1.0,0.22278464,1.0,0.35600334,1,0.3396925
67,1,6,4,1,1,0,35,0.0,0.0,0.9755961,0.0,0.94338614,0,0.5467524
