method,RMSE,MAE,sinkhorn,energy,gaussian,laplacian,R2score
full_linear,0.9616,0.7824,0.6135,0.8677,0.7192,0.5308,0.13751009235717326
full_net,1.0922,0.8732,0.5352,0.2538,0.1826,0.1597,-0.11282959520834446
unaware_linear,0.984,0.7966,0.1088,0.197,0.1847,0.1525,0.0967261880153123
unaware_net,1.1102,0.8816,0.0184,0.0243,0.0184,0.0215,-0.14973585398292744
level2_lin_True,1.0626,0.8518,0.0216,0.0143,0.0095,0.0179,-0.05321443218803146
level2_lin_False,1.0342,0.8315,0.0158,0.0208,0.0185,0.021,0.0023355879950180958
level3_lin_True,1.3985,1.0852,0.0694,0.0205,0.0083,0.0143,-0.8243159589920777
level3_lin_False,1.0614,0.8531,0.0294,0.0073,0.0053,0.0093,-0.05080988996891622
AL_prediction,0.9218,0.7476,1.0164,0.9064,0.5131,0.3729,0.2073178549063912
GL_prediction,0.9549,0.7727,0.2384,0.2631,0.1852,0.1388,0.1494463138647515
GD_prediction,1.0053,0.814,0.018,0.0806,0.0599,0.1064,0.05729436566890633
