method,RMSE,MAE,sinkhorn,energy,gaussian,laplacian,R2score
full_linear,0.8708,0.7044,0.5288,0.8231,0.7233,0.5486,0.12020528521205975
full_net,0.9875,0.7908,0.013,0.0445,0.0118,0.0793,-0.1313479640740829
unaware_linear,0.8891,0.7175,0.0974,0.2016,0.1951,0.171,0.08292954674637254
unaware_net,0.9754,0.78,0.0242,0.0956,0.0762,0.121,-0.10380068274825804
level2_lin_True,0.9265,0.7425,0.0002,0.0013,0.0003,0.0024,0.0041223859950523245
level2_lin_False,0.9321,0.7471,0.0006,0.0008,0.0002,0.0014,-0.007914224353938293
level3_lin_True,0.9298,0.7469,0.0011,0.0037,0.0022,0.0053,-0.0029702682102241695
level3_lin_False,0.9283,0.7438,0.0002,0.0016,0.0006,0.0026,0.00024931862244670366
AL_prediction,0.8553,0.6908,0.6166,0.8362,0.6656,0.4916,0.15130391790338382
GL_prediction,0.8679,0.6999,0.1616,0.2022,0.1564,0.1263,0.125991406839712
GD_prediction,0.908,0.7302,0.0076,0.0536,0.0271,0.0826,0.043433271759725334
