LSAT,UGPA,sex,race,ZFYA,AL_prediction,GL_prediction,GD_prediction
43.0,4.0,1,1,2.3530935213535926,1.3487644,1.5027771,0.24877031
46.0,3.2,1,1,-0.48127468860864375,0.29531002,0.120513916,0.19511318
25.0,3.6,1,1,-0.8490934639472547,-0.46031952,-0.9553528,-0.10463203
37.0,2.9,1,1,-0.96809365596857,-0.09649563,-0.06436157,-0.012682324
35.0,3.7,0,1,-0.6868204748272793,0.24099445,0.1784668,0.083515994
37.0,3.8,1,1,0.6221816374071887,0.42926502,0.4468689,0.14187485
44.0,3.9,1,1,-1.3250942320325159,0.16993618,0.25888062,0.25608897
39.0,3.1,1,1,-0.8382752646725896,0.28433132,0.045196533,0.06552651
36.0,3.6,1,1,0.6546362352311837,0.12715244,0.19042969,0.07755959
33.0,3.2,1,1,0.8060910250764941,-0.14938068,-0.2492981,-0.05746661
35.0,3.4,0,1,0.9142730178231443,-0.28706646,-0.115997314,0.041945
43.0,3.1,1,1,0.3733630540898931,0.433465,0.27752686,0.11767989
31.0,3.8,1,1,-0.3406380980379985,0.25324535,-0.23773193,0.058242388
33.0,3.3,0,1,-0.37309269586199356,-0.38450527,-0.31448364,-0.03546965
40.0,3.2,1,1,0.784454626527164,0.21290874,-0.00289917,0.09674056
44.0,3.3,1,1,0.0920898729486025,0.38803005,0.25021362,0.18040004
38.0,2.9,1,1,-0.546183884256634,-0.065211296,0.04333496,0.012274069
33.0,3.8,0,1,-0.45963829005931384,-0.043168068,0.18328857,0.07788604
40.0,3.6,0,1,0.8493638221751543,0.6028843,0.45358276,0.1511105
41.0,3.7,1,1,-0.6327294784539541,0.4683199,0.41098022,0.19228111
33.0,2.9,1,1,0.5897270395831935,-0.27527905,-0.37734985,-0.11535842
45.0,3.8,1,1,0.17863546714592268,0.047938347,0.18392944,0.26049867
24.0,3.3,0,0,-1.498185420427156,-1.5631661,-1.1468811,-0.1756954
39.0,2.6,1,1,-0.5245474857073039,-0.08930683,-0.006011963,-0.038692083
36.0,3.5,1,1,0.8277274236258242,0.15433407,0.1791687,0.07231205
35.0,3.1,1,1,-1.2818214349338557,-0.25233555,-0.20755005,-0.03222857
38.0,3.5,1,1,0.9683640141964694,0.21508312,0.41567993,0.10256506
29.0,3.6,0,0,-0.3947290944113236,-0.3121748,-0.44692993,-0.04910433
45.0,3.6,1,1,1.5525467750283808,0.04062748,0.04611206,0.23395534
36.0,3.7,0,1,-0.9464572574192399,0.27263546,0.23168945,0.102071725
39.0,3.5,1,1,0.21109006496991778,0.32779503,0.436615,0.118834324
40.0,3.2,1,1,0.8601820214498191,0.21290874,-0.00289917,0.09674056
36.0,3.5,1,1,0.6005452388578586,0.15433407,0.1791687,0.07231205
33.5,3.5,0,1,0.048817075849942396,-0.0068044662,-0.19577026,0.03176591
34.0,3.7,1,1,-0.557002083531299,0.1119833,0.116760254,0.07453074
48.0,3.4,1,1,0.7952728258018291,0.4525423,0.79367065,0.30618218
44.0,3.6,1,1,0.3625448548152281,0.15065289,0.11062622,0.21867731
24.0,3.2,1,1,-0.7625478697499345,-0.39166546,-1.004425,-0.19046444
31.0,2.7,1,1,-1.8876405943150971,-0.33692455,-0.5003967,-0.17452051
40.0,3.8,0,1,1.0981824054924496,0.2660532,0.45407104,0.18918431
29.0,3.3,0,1,-0.124274112544698,-0.18059635,-0.1234436,-0.111131534
36.0,3.1,1,1,0.1353626700472626,-0.123963356,-0.16012573,0.0001793846
40.0,3.0,0,1,2.2665479271562727,0.14452744,0.14126587,0.07118195
47.0,4.0,0,1,0.05963527512460743,0.91706276,0.72836304,0.2897791
27.5,3.1,0,1,-1.0113664530672302,-0.19714928,-0.55422974,-0.17929237
38.0,3.2,1,1,-0.5678202828059641,0.16294575,0.014221191,0.07133336
45.0,3.0,1,1,0.45990864828721323,-0.018532753,0.43972778,0.14347742
41.0,3.7,1,1,1.0224550105697947,0.4683199,0.41098022,0.19228111
24.0,3.4,0,0,-0.557002083531299,-1.370852,-1.2339172,-0.15561663
46.0,4.0,0,1,0.773636427252499,1.0629244,1.1315613,0.27959618
36.0,2.5,1,1,-1.3467306305818458,0.40689373,-0.19290161,-0.10778688
39.0,3.6,1,1,1.585001372852376,0.253767,0.46661377,0.12976314
42.0,3.2,1,1,1.4876375793803907,0.24005985,0.106903076,0.12597299
35.0,3.5,1,1,0.027180677300612358,0.019392967,0.009521484,0.05817185
27.0,2.4,1,1,-1.1952758407365354,-0.16969585,-0.74172974,-0.23653486
27.0,2.7,1,1,0.17863546714592268,-0.05753231,-0.566803,-0.22150095
42.0,3.1,1,1,1.3794555866337403,0.41164112,0.2029419,0.10168665
36.0,3.0,1,1,-0.6976386741019444,-0.08492756,-0.1579895,-0.014226034
47.0,3.6,1,1,-1.1195484458138802,-0.057627678,-0.044952393,0.25916514
30.5,2.9,0,1,-0.557002083531299,-0.49720478,-0.41860962,-0.16157666
31.5,3.5,0,1,0.8060910250764941,-0.17259121,-0.26882935,-0.02038596
29.0,3.0,1,0,-0.20000150746735318,-1.0245295,-0.47488403,-0.16867144
33.5,3.2,1,1,-1.1195484458138802,-0.119971275,-0.27261353,-0.044395655
32.0,3.1,1,1,-0.557002083531299,-0.04962635,-0.22598267,-0.10835604
36.0,3.7,0,1,-0.21081970674201822,0.27263546,0.23168945,0.102071725
45.0,3.8,1,1,-1.5739128153498114,0.047938347,0.18392944,0.26049867
34.0,3.6,0,1,0.3409084562658981,0.14062977,-0.06210327,0.05156991
36.0,3.9,0,1,0.33009025699123307,0.81465816,0.53045654,0.14715436
38.0,2.8,0,1,-1.1411848443632102,-0.22477055,0.016998291,-0.0136511335
39.0,3.1,1,1,1.8121835576203413,0.28433132,0.045196533,0.06552651
33.0,3.8,1,1,-0.3081835002140035,0.2929964,0.18328857,0.07788604
43.0,2.9,0,1,0.07045347439927244,0.3809538,0.30395508,0.09224676
34.5,2.9,0,1,-0.016092119798047748,-0.1844511,-0.32839966,-0.08156648
40.0,3.1,0,1,-0.546183884256634,0.12795639,0.091674805,0.07666806
37.0,3.6,1,1,1.5092739779297206,0.27048492,0.31796265,0.092692606
35.0,3.5,1,1,0.6546362352311837,0.019392967,0.009521484,0.05817185
35.0,3.7,0,1,-1.6171856124484716,0.24099445,0.1784668,0.083515994
38.0,2.4,1,1,1.3361827895350802,0.07867718,-0.019989014,-0.08493132
37.0,3.5,1,1,-0.5137292864326388,0.24255466,0.32907104,0.08571581
36.0,3.3,1,1,1.22800079678843,-0.04358387,-0.04977417,0.044993166
31.0,3.1,0,1,-0.546183884256634,-0.34359837,-0.2604065,-0.12761226
18.0,3.0,0,0,-0.20000150746735318,-0.8499384,-1.3661194,-0.24770282
32.0,3.2,1,1,1.0873642062177846,-0.1874876,-0.18008423,-0.07946394
31.0,3.7,1,1,-0.9464572574192399,0.23415089,-0.29110718,0.035667147
35.0,3.5,1,1,0.8060910250764941,0.019392967,0.009521484,0.05817185
31.5,2.8,1,1,-0.4920928878833088,-0.28569126,-0.4689026,-0.15790364
35.0,3.3,0,1,-1.5522764168004812,-0.2995224,-0.2170105,0.023555206
33.0,3.0,0,1,0.1029080722232675,-0.17851925,-0.25271606,-0.0962527
37.0,3.2,0,1,1.3145463909857504,-0.04434204,-0.04067993,0.053081486
41.0,2.3,1,1,0.5356360432098685,0.42300892,0.7459717,-0.051853366
41.0,3.4,0,1,0.9683640141964694,-0.08440781,0.177948,0.1427075
32.0,3.5,0,1,0.24354466279391282,-0.10221195,-0.26760864,-0.009600807
41.0,3.2,0,1,0.8385456229004892,-0.20535183,0.017211914,0.10627089
32.5,2.8,1,1,-0.6435476777286192,-0.21190166,-0.5100403,-0.14059165
40.0,3.5,1,1,1.2929099924364202,0.3652792,0.39614868,0.14183004
41.0,3.8,0,1,-0.026910319072712782,0.26695156,0.3666687,0.20532797
35.5,2.9,1,1,-0.09181951472070293,-0.16491604,-0.24246216,-0.056661952
36.0,2.6,1,1,0.00554427875128229,0.2092619,-0.29214478,-0.09531263
32.0,2.9,1,1,-0.96809365596857,-0.29977703,-0.38284302,-0.13566445
39.0,3.3,1,1,0.9900004127457995,0.25106144,0.12957764,0.09308473
37.0,2.9,0,1,-0.3514562973126635,-0.059168816,-0.06436157,-0.012682324
44.0,3.2,1,1,2.363911720628258,0.42133617,0.27926636,0.16383141
34.0,3.1,1,1,-0.5894566813552942,-0.34585285,-0.221344,-0.06297082
41.0,3.7,0,1,0.6438180359565188,0.4622717,0.41098022,0.19228111
37.0,3.3,1,1,0.28681745989257296,0.012124062,0.100250244,0.06543108
31.0,3.6,0,1,0.47072684756187827,-0.1851654,-0.29299927,-0.014613885
38.0,3.4,1,1,-0.48127468860864375,0.14901924,0.32699585,0.08898305
43.0,2.5,1,1,-0.10263771399536795,0.5185194,0.18527222,0.013761368
46.0,3.0,0,1,0.4058176519138882,0.5322876,0.51852417,0.16195624
