LSAT,UGPA,sex,race,ZFYA,AL_prediction,GL_prediction,GD_prediction
43.0,4.0,1,1,2.3530935213535926,1.3487644,1.540947,0.3557461
46.0,3.2,1,1,-0.48127468860864375,0.29531002,0.26992035,0.2901727
25.0,3.6,1,1,-0.8490934639472547,-0.46031952,-0.8395767,-0.26808852
37.0,2.9,1,1,-0.96809365596857,-0.09649563,-0.08983612,-0.008420367
35.0,3.7,0,1,-0.6868204748272793,0.24099445,0.15651703,0.1298104
37.0,3.8,1,1,0.6221816374071887,0.42926502,0.39144135,0.21811101
44.0,3.9,1,1,-1.3250942320325159,0.16993618,0.2191391,0.35586584
39.0,3.1,1,1,-0.8382752646725896,0.28433132,0.11606979,0.06387154
36.0,3.6,1,1,0.6546362352311837,0.12715244,0.23552704,0.11165885
33.0,3.2,1,1,0.8060910250764941,-0.14938068,-0.19535065,-0.09635995
35.0,3.4,0,1,0.9142730178231443,-0.28706646,-0.017944336,0.022484612
43.0,3.1,1,1,0.3733630540898931,0.433465,0.24767303,0.19976428
31.0,3.8,1,1,-0.3406380980379985,0.25324535,-0.23976135,0.03031702
33.0,3.3,0,1,-0.37309269586199356,-0.38450527,-0.23126984,-0.054791782
40.0,3.2,1,1,0.784454626527164,0.21290874,0.110816956,0.14580703
44.0,3.3,1,1,0.0920898729486025,0.38803005,0.1019516,0.2694674
38.0,2.9,1,1,-0.546183884256634,-0.065211296,0.033081055,0.011449326
33.0,3.8,0,1,-0.45963829005931384,-0.043168068,0.28684235,0.098433174
40.0,3.6,0,1,0.8493638221751543,0.6028843,0.41301727,0.23104493
41.0,3.7,1,1,-0.6327294784539541,0.4683199,0.37841034,0.28660563
33.0,2.9,1,1,0.5897270395831935,-0.27527905,-0.360878,-0.20868775
45.0,3.8,1,1,0.17863546714592268,0.047938347,-0.043678284,0.35725376
24.0,3.3,0,0,-1.498185420427156,-1.5631661,-0.80783844,-0.38455218
39.0,2.6,1,1,-0.5245474857073039,-0.08930683,0.07720184,-0.0035169888
36.0,3.5,1,1,0.8277274236258242,0.15433407,0.21652222,0.08833224
35.0,3.1,1,1,-1.2818214349338557,-0.25233555,-0.28873444,-0.041376393
