LSAT,UGPA,sex,race,ZFYA,AL_prediction,GL_prediction,GD_prediction
43.0,4.0,1,1,2.32,0.91236126,1.0306396,0.23279443
46.0,3.2,1,1,-0.3,0.3738042,0.3265381,0.19996789
25.0,3.6,1,1,-0.64,-0.5443934,-0.7159424,0.041820087
37.0,2.9,1,1,-0.75,0.033950925,0.17858887,0.06165462
35.0,3.7,0,1,-0.49,0.3060981,0.25964355,0.11855913
37.0,3.8,1,1,0.72,0.45185673,0.27087402,0.17071596
44.0,3.9,1,1,-1.08,0.27090275,0.11999512,0.23952875
39.0,3.1,1,1,-0.63,0.2336446,0.29187012,0.10454349
36.0,3.6,1,1,0.75,0.29160893,0.41296387,0.11958557
33.0,3.2,1,1,0.89,0.063186765,0.08093262,0.0450551
35.0,3.4,0,1,0.99,-0.067684054,0.07458496,0.08375924
43.0,3.1,1,1,0.49,0.36026776,0.3109131,0.16164793
31.0,3.8,1,1,-0.17,0.15502179,0.21081543,0.086876154
33.0,3.3,0,1,-0.2,-0.010167003,-0.037231445,0.05792395
40.0,3.2,1,1,0.87,0.27918637,0.41296387,0.13429464
44.0,3.3,1,1,0.23,0.3662759,0.3010254,0.19613895
38.0,2.9,1,1,-0.36,0.046476483,0.14245605,0.074664645
33.0,3.8,0,1,-0.28,0.2275821,0.4227295,0.10571534
40.0,3.6,0,1,0.93,0.5342094,0.5076904,0.18707862
41.0,3.7,1,1,-0.44,0.487198,0.5916748,0.20881689
33.0,2.9,1,1,0.69,0.045318723,-0.19641113,0.024575591
45.0,3.8,1,1,0.31,0.033800244,0.38562012,0.24498123
24.0,3.3,0,0,-1.24,-1.0658778,-0.98742676,0.010952637
39.0,2.6,1,1,-0.34,0.18040669,0.21569824,0.07078783
36.0,3.5,1,1,0.91,0.2545339,0.15563965,0.104233414
35.0,3.1,1,1,-1.04,0.08971608,-0.0025634766,0.05070568
38.0,3.5,1,1,1.04,0.2937795,0.2442627,0.14251454
29.0,3.6,0,0,-0.22,-0.55216587,-0.43469238,0.060132645
45.0,3.6,1,1,1.58,0.25130856,0.6627197,0.23704784
36.0,3.7,0,1,-0.73,0.4663564,0.45788574,0.14057931
39.0,3.5,1,1,0.34,0.2986127,0.32165527,0.15883121
40.0,3.2,1,1,0.94,0.27918637,0.41296387,0.13429464
36.0,3.5,1,1,0.7,0.2545339,0.15563965,0.104233414
33.5,3.5,0,1,0.19,0.061164975,0.22155762,0.080380514
34.0,3.7,1,1,-0.37,0.2289201,0.13562012,0.10266881
48.0,3.4,1,1,0.88,0.6780244,1.1981201,0.22404379
44.0,3.6,1,1,0.48,0.31738675,0.39343262,0.23065674
24.0,3.2,1,1,-0.56,-0.2693652,-0.7755127,0.003846988
31.0,2.7,1,1,-1.6,-0.08326328,-0.32531738,-0.0059273094
40.0,3.8,0,1,1.16,0.5152446,0.67907715,0.20608574
29.0,3.3,0,1,0.03,-0.054172397,-0.022583008,0.031427227
36.0,3.1,1,1,0.27,0.13885891,-0.013793945,0.06101796
40.0,3.0,0,1,2.24,0.38940632,0.09362793,0.109071225
47.0,4.0,0,1,0.2,0.77492344,0.8441162,0.25063246
27.5,3.1,0,1,-0.79,-0.05901134,-0.37219238,0.0063451678
38.0,3.2,1,1,-0.38,0.25218403,0.274292,0.1015598
45.0,3.0,1,1,0.57,0.31349385,0.5789795,0.17202938
41.0,3.7,1,1,1.09,0.487198,0.5916748,0.20881689
24.0,3.4,0,0,-0.37,-0.8526782,-1.1778564,0.01718551
46.0,4.0,0,1,0.86,0.87544835,0.63464355,0.2493554
36.0,2.5,1,1,-1.1,0.32289135,-0.047973633,0.040075436
39.0,3.6,1,1,1.61,0.35318577,0.5506592,0.17400472
42.0,3.2,1,1,1.52,0.2731496,0.111694336,0.16028859
35.0,3.5,1,1,0.17,0.16199505,0.18835449,0.09335312
27.0,2.4,1,1,-0.96,0.07174313,-0.94348145,-0.038772523
27.0,2.7,1,1,0.31,0.110500455,-0.35266113,-0.024110466
42.0,3.1,1,1,1.42,0.32574666,0.13562012,0.14896196
36.0,3.0,1,1,-0.5,0.11265385,-0.024536133,0.055434406
47.0,3.6,1,1,-0.89,0.48495495,0.35437012,0.24112552
30.5,2.9,0,1,-0.37,-0.2901839,-0.13293457,0.0051014423
31.5,3.5,0,1,0.89,0.07533085,0.12976074,0.065498486
29.0,3.0,1,0,-0.04,-0.6604556,-0.37219238,0.005035341
33.5,3.2,1,1,-0.89,0.0863229,0.119018555,0.049372606
32.0,3.1,1,1,-0.37,0.030901074,0.09655762,0.02952753
36.0,3.7,0,1,-0.05,0.4663564,0.45788574,0.14057931
45.0,3.8,1,1,-1.31,0.033800244,0.38562012,0.24498123
34.0,3.6,0,1,0.46,0.13757718,0.17077637,0.09262871
36.0,3.9,0,1,0.45,0.60324585,0.19421387,0.16758734
38.0,2.8,0,1,-0.91,0.12526524,0.11804199,0.069296986
39.0,3.1,1,1,1.82,0.2336446,0.29187012,0.10454349
33.0,3.8,1,1,-0.14,0.30056202,0.4227295,0.10571534
43.0,2.9,0,1,0.21,0.40879643,0.39050293,0.14192016
34.5,2.9,0,1,0.13,-0.16285884,-0.23254395,0.035234123
40.0,3.1,0,1,-0.36,0.29272568,0.19616699,0.11956736
37.0,3.6,1,1,1.54,0.4310342,0.52575684,0.13956383
35.0,3.5,1,1,0.75,0.16199505,0.18835449,0.09335312
