LSAT,UGPA,sex,race,ZFYA,AL_prediction,GL_prediction,GD_prediction
43.0,4.0,1,1,2.32,0.9684011,0.9400635,0.45343965
46.0,3.2,1,1,-0.3,0.38697827,0.51208496,0.41061354
25.0,3.6,1,1,-0.64,-0.5531138,-0.6107178,-0.16379963
37.0,2.9,1,1,-0.75,0.036869153,0.100112915,0.12865473
35.0,3.7,0,1,-0.49,0.33244526,0.30697632,0.27135718
37.0,3.8,1,1,0.72,0.4509393,0.48077393,0.33143675
44.0,3.9,1,1,-1.08,0.17790042,0.19921875,0.45758104
39.0,3.1,1,1,-0.63,0.2090951,0.17658997,0.21979077
36.0,3.6,1,1,0.75,0.32382977,0.2951355,0.25445446
33.0,3.2,1,1,0.89,0.057651624,-0.010314941,0.024665236
35.0,3.4,0,1,0.99,-0.053314105,0.087638855,0.16751574
43.0,3.1,1,1,0.49,0.39135563,0.2942505,0.32925212
31.0,3.8,1,1,-0.17,0.17379771,0.21681976,0.16993013
33.0,3.3,0,1,-0.2,-0.016031161,-0.0011291504,0.062948905
40.0,3.2,1,1,0.87,0.27105153,0.18432617,0.28660694
44.0,3.3,1,1,0.23,0.38471425,0.34753418,0.39266235
38.0,2.9,1,1,-0.36,0.058080778,0.17559814,0.16639562
33.0,3.8,0,1,-0.28,0.24742518,0.31736755,0.24025598
40.0,3.6,0,1,0.93,0.5043756,0.40545654,0.35134116
41.0,3.7,1,1,-0.44,0.5069829,0.49432373,0.3957563
33.0,2.9,1,1,0.69,0.03221713,-0.15618896,-0.09899603
45.0,3.8,1,1,0.31,0.025507078,0.18786621,0.46174222
24.0,3.3,0,0,-1.24,-1.0463427,-1.1335449,-0.28481203
39.0,2.6,1,1,-0.34,0.188305,0.16279602,0.13517997
36.0,3.5,1,1,0.91,0.2655183,0.2644806,0.23612118
35.0,3.1,1,1,-1.04,0.06925593,-0.0043029785,0.07894995
38.0,3.5,1,1,1.04,0.31229985,0.39187622,0.29723203
29.0,3.6,0,0,-0.22,-0.50045764,-0.18682861,-0.020299569
45.0,3.6,1,1,1.58,0.3097669,0.3244629,0.4403454
36.0,3.7,0,1,-0.73,0.46027958,0.34716797,0.2916172
39.0,3.5,1,1,0.34,0.32015812,0.39276123,0.31958598
40.0,3.2,1,1,0.94,0.27105153,0.18432617,0.28660694
36.0,3.5,1,1,0.7,0.2655183,0.2644806,0.23612118
33.5,3.5,0,1,0.19,0.044990644,0.06121826,0.14674988
34.0,3.7,1,1,-0.37,0.2050725,0.27690125,0.23448336
48.0,3.4,1,1,0.88,0.6502801,0.94873047,0.49857146
44.0,3.6,1,1,0.48,0.3883916,0.32531738,0.42701864
