LSAT,UGPA,sex,race,ZFYA,AL_prediction,GL_prediction,GD_prediction
43.0,4.0,1,1,2.32,0.91236126,1.1575317,0.42046803
46.0,3.2,1,1,-0.3,0.3738042,0.41534424,0.35872227
25.0,3.6,1,1,-0.64,-0.5443934,-0.2189331,-0.16655849
37.0,2.9,1,1,-0.75,0.033950925,0.20147705,0.12458806
35.0,3.7,0,1,-0.49,0.3060981,0.49346924,0.2812626
37.0,3.8,1,1,0.72,0.45185673,0.24737549,0.33958805
44.0,3.9,1,1,-1.08,0.27090275,-0.09637451,0.41550696
39.0,3.1,1,1,-0.63,0.2336446,0.2366333,0.22021909
36.0,3.6,1,1,0.75,0.29160893,0.37921143,0.27589095
33.0,3.2,1,1,0.89,0.063186765,0.0725708,0.029862411
35.0,3.4,0,1,0.99,-0.067684054,0.090148926,0.17171304
43.0,3.1,1,1,0.49,0.36026776,0.28253174,0.3034578
31.0,3.8,1,1,-0.17,0.15502179,0.12530518,0.18400824
33.0,3.3,0,1,-0.2,-0.010167003,-0.0072631836,0.06781276
40.0,3.2,1,1,0.87,0.27918637,0.35186768,0.26430392
44.0,3.3,1,1,0.23,0.3662759,0.40753174,0.34694964
38.0,2.9,1,1,-0.36,0.046476483,0.15948486,0.15489689
33.0,3.8,0,1,-0.28,0.2275821,0.36260986,0.25800878
40.0,3.6,0,1,0.93,0.5342094,0.552063,0.34470123
41.0,3.7,1,1,-0.44,0.487198,0.58135986,0.37386015
33.0,2.9,1,1,0.69,0.045318723,-0.2531128,-0.0849753
45.0,3.8,1,1,0.31,0.033800244,0.3381958,0.4121163
24.0,3.3,0,0,-1.24,-1.0658778,-0.79608154,-0.30237103
39.0,2.6,1,1,-0.34,0.18040669,0.054992676,0.12599054
36.0,3.5,1,1,0.91,0.2545339,0.20343018,0.24263301
35.0,3.1,1,1,-1.04,0.08971608,-0.031677246,0.1017928
38.0,3.5,1,1,1.04,0.2937795,0.3040161,0.2902433
29.0,3.6,0,0,-0.22,-0.55216587,-0.25115967,-0.002811879
45.0,3.6,1,1,1.58,0.25130856,0.35284424,0.39355588
36.0,3.7,0,1,-0.73,0.4663564,0.4446411,0.3005907
39.0,3.5,1,1,0.34,0.2986127,0.3899536,0.30808532
40.0,3.2,1,1,0.94,0.27918637,0.35186768,0.26430392
36.0,3.5,1,1,0.7,0.2545339,0.20343018,0.24263301
33.5,3.5,0,1,0.19,0.061164975,-0.03338623,0.1475191
