LSAT,UGPA,sex,race,ZFYA,AL_prediction,GL_prediction,GD_prediction
43.0,4.0,1,1,2.32,0.9684011,1.1056671,0.4459685
46.0,3.2,1,1,-0.3,0.38697827,0.45751953,0.3737796
25.0,3.6,1,1,-0.64,-0.5531138,-0.5664978,-0.12520479
37.0,2.9,1,1,-0.75,0.036869153,0.081100464,0.12529409
35.0,3.7,0,1,-0.49,0.33244526,0.21672058,0.23217632
37.0,3.8,1,1,0.72,0.4509393,0.48332214,0.30565608
44.0,3.9,1,1,-1.08,0.17790042,0.22242737,0.4448285
39.0,3.1,1,1,-0.63,0.2090951,0.21412659,0.2010245
36.0,3.6,1,1,0.75,0.32382977,0.24708557,0.21949631
33.0,3.2,1,1,0.89,0.057651624,-0.041809082,0.04168319
35.0,3.4,0,1,0.99,-0.053314105,0.12532043,0.17721774
43.0,3.1,1,1,0.49,0.39135563,0.2738495,0.2927031
31.0,3.8,1,1,-0.17,0.17379771,0.16149902,0.19160128
33.0,3.3,0,1,-0.2,-0.016031161,-0.012802124,0.08666323
40.0,3.2,1,1,0.87,0.27105153,0.190979,0.25641704
44.0,3.3,1,1,0.23,0.38471425,0.31874084,0.35550666
38.0,2.9,1,1,-0.36,0.058080778,0.15148926,0.15538788
33.0,3.8,0,1,-0.28,0.24742518,0.31355286,0.21910778
40.0,3.6,0,1,0.93,0.5043756,0.47148132,0.3127506
41.0,3.7,1,1,-0.44,0.5069829,0.5115509,0.36175942
33.0,2.9,1,1,0.69,0.03221713,-0.11042786,-0.080653936
45.0,3.8,1,1,0.31,0.025507078,0.19923401,0.44429928
24.0,3.3,0,0,-1.24,-1.0463427,-0.9510956,-0.25046664
39.0,2.6,1,1,-0.34,0.188305,0.1673584,0.12519902
36.0,3.5,1,1,0.91,0.2655183,0.24160767,0.20875949
35.0,3.1,1,1,-1.04,0.06925593,-0.013671875,0.083746135
38.0,3.5,1,1,1.04,0.31229985,0.3912506,0.2568563
29.0,3.6,0,0,-0.22,-0.50045764,-0.22573853,0.018393755
45.0,3.6,1,1,1.58,0.3097669,0.38128662,0.4089476
36.0,3.7,0,1,-0.73,0.46027958,0.266037,0.2538631
39.0,3.5,1,1,0.34,0.32015812,0.42106628,0.28021574
40.0,3.2,1,1,0.94,0.27105153,0.190979,0.25641704
36.0,3.5,1,1,0.7,0.2655183,0.24160767,0.20875949
33.5,3.5,0,1,0.19,0.044990644,0.12336731,0.17141624
34.0,3.7,1,1,-0.37,0.2050725,0.2111969,0.21360362
48.0,3.4,1,1,0.88,0.6502801,0.9579468,0.48081785
44.0,3.6,1,1,0.48,0.3883916,0.34506226,0.3948676
24.0,3.2,1,1,-0.56,-0.32095516,-0.97969055,-0.2796908
31.0,2.7,1,1,-1.6,-0.084161654,-0.38061523,-0.21044545
40.0,3.8,0,1,1.16,0.52053845,0.63261414,0.36102122
