LSAT,UGPA,sex,race,ZFYA,AL_prediction,GL_prediction,GD_prediction
43.0,4.0,1,1,2.3530935213535926,1.3487644,1.5289459,0.2318926
46.0,3.2,1,1,-0.48127468860864375,0.29531002,0.11354065,0.21079889
25.0,3.6,1,1,-0.8490934639472547,-0.46031952,-0.64512634,-0.21222721
37.0,2.9,1,1,-0.96809365596857,-0.09649563,-0.14212036,-0.012156663
35.0,3.7,0,1,-0.6868204748272793,0.24099445,0.2648468,0.11224091
37.0,3.8,1,1,0.6221816374071887,0.42926502,0.35858154,0.15202129
44.0,3.9,1,1,-1.3250942320325159,0.16993618,0.1867218,0.24912171
39.0,3.1,1,1,-0.8382752646725896,0.28433132,0.038528442,0.06417373
36.0,3.6,1,1,0.6546362352311837,0.12715244,0.22505188,0.102500275
33.0,3.2,1,1,0.8060910250764941,-0.14938068,-0.2563324,-0.069457024
35.0,3.4,0,1,0.9142730178231443,-0.28706646,-0.10588074,0.054169998
43.0,3.1,1,1,0.3733630540898931,0.433465,0.30677795,0.13477537
31.0,3.8,1,1,-0.3406380980379985,0.25324535,-0.18675232,0.047315527
33.0,3.3,0,1,-0.37309269586199356,-0.38450527,-0.32286072,-0.048926674
40.0,3.2,1,1,0.784454626527164,0.21290874,-0.0034637451,0.10762808
44.0,3.3,1,1,0.0920898729486025,0.38803005,0.19374084,0.1942787
38.0,2.9,1,1,-0.546183884256634,-0.065211296,-0.0382843,0.0054848106
33.0,3.8,0,1,-0.45963829005931384,-0.043168068,0.25245667,0.08659169
40.0,3.6,0,1,0.8493638221751543,0.6028843,0.44795227,0.15696089
41.0,3.7,1,1,-0.6327294784539541,0.4683199,0.40260315,0.1874922
33.0,2.9,1,1,0.5897270395831935,-0.27527905,-0.36228943,-0.11318892
45.0,3.8,1,1,0.17863546714592268,0.047938347,0.09474182,0.2663824
24.0,3.3,0,0,-1.498185420427156,-1.5631661,-1.2587738,-0.26889342
39.0,2.6,1,1,-0.5245474857073039,-0.08930683,0.018447876,-0.025642982
36.0,3.5,1,1,0.8277274236258242,0.15433407,0.17494202,0.093131185
35.0,3.1,1,1,-1.2818214349338557,-0.25233555,-0.20237732,-0.026545929
38.0,3.5,1,1,0.9683640141964694,0.21508312,0.36547852,0.12434754
29.0,3.6,0,0,-0.3947290944113236,-0.3121748,-0.43626404,-0.123060055
45.0,3.6,1,1,1.5525467750283808,0.04062748,-0.03501892,0.25125107
36.0,3.7,0,1,-0.9464572574192399,0.27263546,0.29856873,0.12807488
39.0,3.5,1,1,0.21109006496991778,0.32779503,0.38935852,0.13812146
40.0,3.2,1,1,0.8601820214498191,0.21290874,-0.0034637451,0.10762808
36.0,3.5,1,1,0.6005452388578586,0.15433407,0.17494202,0.093131185
33.5,3.5,0,1,0.048817075849942396,-0.0068044662,-0.19224548,0.034568317
34.0,3.7,1,1,-0.557002083531299,0.1119833,0.22071838,0.0890877
48.0,3.4,1,1,0.7952728258018291,0.4525423,0.6194,0.3017026
44.0,3.6,1,1,0.3625448548152281,0.15065289,0.11463928,0.23379163
24.0,3.2,1,1,-0.7625478697499345,-0.39166546,-1.1838226,-0.28197646
31.0,2.7,1,1,-1.8876405943150971,-0.33692455,-0.55918884,-0.18502934
40.0,3.8,0,1,1.0981824054924496,0.2660532,0.4591217,0.18042134
29.0,3.3,0,1,-0.124274112544698,-0.18059635,-0.13121033,-0.18642053
36.0,3.1,1,1,0.1353626700472626,-0.123963356,-0.15135193,0.0020581724
40.0,3.0,0,1,2.2665479271562727,0.14452744,0.1476593,0.072412536
47.0,4.0,0,1,0.05963527512460743,0.91706276,0.7350006,0.28146163
27.5,3.1,0,1,-1.0113664530672302,-0.19714928,-0.5066986,-0.25235167
38.0,3.2,1,1,-0.5678202828059641,0.16294575,0.050445557,0.078125514
45.0,3.0,1,1,0.45990864828721323,-0.018532753,0.3860016,0.15412273
41.0,3.7,1,1,1.0224550105697947,0.4683199,0.40260315,0.1874922
24.0,3.4,0,0,-0.557002083531299,-1.370852,-1.20018,-0.2539217
46.0,4.0,0,1,0.773636427252499,1.0629244,1.1097565,0.26746196
36.0,2.5,1,1,-1.3467306305818458,0.40689373,-0.14390564,-0.07448642
39.0,3.6,1,1,1.585001372852376,0.253767,0.43663025,0.14600724
42.0,3.2,1,1,1.4876375793803907,0.24005985,0.080947876,0.14321287
35.0,3.5,1,1,0.027180677300612358,0.019392967,0.023269653,0.075071916
27.0,2.4,1,1,-1.1952758407365354,-0.16969585,-0.66233826,-0.26491252
27.0,2.7,1,1,0.17863546714592268,-0.05753231,-0.6987152,-0.27592787
42.0,3.1,1,1,1.3794555866337403,0.41164112,0.24720764,0.11832463
36.0,3.0,1,1,-0.6976386741019444,-0.08492756,-0.18043518,-0.009722188
47.0,3.6,1,1,-1.1195484458138802,-0.057627678,0.077041626,0.27451417
30.5,2.9,0,1,-0.557002083531299,-0.49720478,-0.44114685,-0.19397199
