LSAT,UGPA,sex,race,ZFYA,AL_prediction,GL_prediction,GD_prediction
43.0,4.0,1,1,2.3530935213535926,1.348752,1.5696259,0.13147382
46.0,3.2,1,1,-0.48127468860864375,0.29530334,0.41567993,0.04933625
25.0,3.6,1,1,-0.8490934639472547,-0.4603119,-0.7976227,-0.00030792854
37.0,2.9,1,1,-0.96809365596857,-0.09649277,-0.13600159,-0.03923622
35.0,3.7,0,1,-0.6868204748272793,0.24098396,0.10270691,0.04716759
37.0,3.8,1,1,0.6221816374071887,0.42927742,0.41752625,0.072116315
44.0,3.9,1,1,-1.3250942320325159,0.16993904,0.33366394,0.11985092
39.0,3.1,1,1,-0.8382752646725896,0.28432655,0.044799805,-0.01292671
36.0,3.6,1,1,0.6546362352311837,0.1271553,0.22746277,0.03643292
33.0,3.2,1,1,0.8060910250764941,-0.14936256,-0.3152771,-0.01912011
35.0,3.4,0,1,0.9142730178231443,-0.28708744,-0.016677856,0.012331055
43.0,3.1,1,1,0.3733630540898931,0.4334774,0.27713013,0.020936426
31.0,3.8,1,1,-0.3406380980379985,0.2532425,-0.28108215,0.035854176
33.0,3.3,0,1,-0.37309269586199356,-0.38452435,-0.30638123,-0.007990124
40.0,3.2,1,1,0.784454626527164,0.2129116,0.049301147,0.016779937
44.0,3.3,1,1,0.0920898729486025,0.388031,0.13597107,0.048799425
38.0,2.9,1,1,-0.546183884256634,-0.065193176,-0.05567932,-0.034886412
33.0,3.8,0,1,-0.45963829005931384,-0.043182373,0.18901062,0.046570625
40.0,3.6,0,1,0.8493638221751543,0.6028862,0.44828796,0.05720936
41.0,3.7,1,1,-0.6327294784539541,0.46833038,0.42411804,0.08280949
33.0,2.9,1,1,0.5897270395831935,-0.27527046,-0.29527283,-0.054027203
45.0,3.8,1,1,0.17863546714592268,0.047943115,-0.08821106,0.09886615
24.0,3.3,0,0,-1.498185420427156,-1.5631752,-1.199997,-0.022333387
39.0,2.6,1,1,-0.5245474857073039,-0.08930588,0.013687134,-0.03912878
36.0,3.5,1,1,0.8277274236258242,0.15433884,0.22917175,0.03090916
35.0,3.1,1,1,-1.2818214349338557,-0.2523136,-0.1973877,-0.03316654
38.0,3.5,1,1,0.9683640141964694,0.21508598,0.38182068,0.041130587
29.0,3.6,0,0,-0.3947290944113236,-0.312191,-0.357193,0.010161389
45.0,3.6,1,1,1.5525467750283808,0.040634155,0.06858826,0.07010542
36.0,3.7,0,1,-0.9464572574192399,0.2726202,0.22337341,0.05243124
39.0,3.5,1,1,0.21109006496991778,0.32780457,0.3818817,0.04593981
40.0,3.2,1,1,0.8601820214498191,0.2129116,0.049301147,0.016779937
36.0,3.5,1,1,0.6005452388578586,0.15433884,0.22917175,0.03090916
33.5,3.5,0,1,0.048817075849942396,-0.0068159103,-0.1811676,0.015449281
34.0,3.7,1,1,-0.557002083531299,0.11199188,-0.025100708,0.042348146
48.0,3.4,1,1,0.7952728258018291,0.45253563,0.6531067,0.07456727
44.0,3.6,1,1,0.3625448548152281,0.15065956,0.1903534,0.06849417
24.0,3.2,1,1,-0.7625478697499345,-0.39164734,-1.0261078,-0.029910877
31.0,2.7,1,1,-1.8876405943150971,-0.33691025,-0.5970001,-0.06872067
40.0,3.8,0,1,1.0981824054924496,0.26604748,0.4341278,0.09136729
29.0,3.3,0,1,-0.124274112544698,-0.18060684,-0.13438416,-0.016575906
