sex,age,age_cat,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_degree,two_year_recid,AL_prediction,AL_prediction_proba,GL_prediction,GL_prediction_proba,GD_prediction,GD_prediction_proba
1,28,0,1,0,0,0,5,0,0.0,1.0,0.3571297,1.0,0.31180912,1,0.058010127
1,26,0,1,0,0,0,1,0,0.0,1.0,0.49181724,0.0,0.6345839,1,0.4108783
1,37,0,1,0,0,0,9,0,0.0,1.0,0.33710456,1.0,0.35128707,1,0.06145182
1,26,0,1,0,0,0,2,0,1.0,1.0,0.43140966,0.0,0.52701914,1,0.14067465
1,30,0,1,4,0,0,12,0,1.0,1.0,0.2241087,1.0,0.27734935,1,0.040681325
1,32,0,1,1,0,0,2,1,1.0,1.0,0.32912308,1.0,0.28287226,1,0.06546949
0,24,2,1,0,0,0,2,0,1.0,1.0,0.46257627,1.0,0.4512946,1,0.076268084
0,21,2,1,0,0,0,0,1,0.0,1.0,0.4765092,0.0,0.54955757,0,0.9329115
1,57,1,0,0,0,0,1,0,0.0,0.0,0.8003054,0.0,0.7652547,0,0.94540876
1,28,0,1,0,0,0,0,1,1.0,0.0,0.6357026,0.0,0.64963067,0,0.97576284
0,20,2,1,0,0,1,0,1,1.0,1.0,0.24135387,1.0,0.3666544,1,0.37188506
1,31,0,0,0,0,0,8,1,0.0,1.0,0.3388579,1.0,0.33331066,1,0.063260555
1,26,0,0,0,0,0,0,1,0.0,0.0,0.6218008,0.0,0.6142589,0,0.97395575
1,47,1,1,0,0,0,5,0,0.0,0.0,0.59146583,0.0,0.50490993,1,0.49861816
1,44,0,0,0,0,0,4,1,0.0,0.0,0.5760127,0.0,0.574962,0,0.62944424
1,29,0,0,0,0,0,0,1,0.0,0.0,0.68677145,0.0,0.6615139,0,0.9762999
1,27,0,1,0,0,0,4,0,1.0,1.0,0.3714779,1.0,0.31911242,1,0.06348826
1,28,0,1,0,0,0,0,1,0.0,0.0,0.6357026,0.0,0.64963067,0,0.97576284
1,23,2,1,0,0,0,2,0,1.0,1.0,0.35479063,1.0,0.34928346,1,0.039165244
1,35,0,1,0,0,0,6,0,1.0,1.0,0.40870333,1.0,0.36353648,1,0.08211078
1,30,0,0,0,0,0,0,1,0.0,0.0,0.7037988,0.0,0.6709851,0,0.9767652
1,28,0,1,0,0,0,0,1,0.0,0.0,0.6357026,0.0,0.64963067,0,0.97576284
1,28,0,1,0,0,0,1,1,1.0,0.0,0.5310166,0.0,0.71772754,0,0.6598618
0,27,0,0,0,0,0,2,0,0.0,1.0,0.4957744,0.0,0.5592786,1,0.4206736
1,32,0,1,0,0,0,8,0,1.0,1.0,0.32572675,1.0,0.30219656,1,0.054661386
0,24,2,1,0,0,0,0,0,1.0,0.0,0.6548617,0.0,0.61151147,0,0.97278184
1,28,0,0,0,0,0,8,0,1.0,1.0,0.28275585,1.0,0.19400686,1,0.04482209
0,39,0,1,0,0,0,3,0,1.0,0.0,0.5800653,0.0,0.5804111,0,0.68139684
1,22,2,0,0,0,1,1,0,0.0,0.0,0.5773461,1.0,0.33623296,1,0.029331375
1,39,0,0,0,0,0,1,0,0.0,0.0,0.6674802,0.0,0.68940157,0,0.7857951
1,29,0,1,0,0,0,0,0,0.0,0.0,0.70693624,0.0,0.6689023,0,0.9770521
0,45,1,0,0,0,0,0,1,0.0,0.0,0.8647448,0.0,0.84184235,0,0.97932273
0,26,0,1,0,0,0,1,1,0.0,0.0,0.5568656,0.0,0.72622466,0,0.7078902
0,45,1,0,0,0,0,1,1,0.0,0.0,0.7594268,0.0,0.7842833,0,0.9422355
1,52,1,0,0,0,0,1,0,0.0,0.0,0.7632137,0.0,0.80010986,0,0.92273176
1,51,1,1,0,0,0,1,0,0.0,0.0,0.7238418,0.0,0.7906804,0,0.91654557
0,29,0,0,0,0,0,1,0,1.0,0.0,0.5822345,0.0,0.7197934,0,0.7191886
1,31,0,1,0,0,0,13,1,1.0,1.0,0.29582477,1.0,0.2183429,1,0.048508685
1,47,1,0,0,0,0,0,1,0.0,0.0,0.835372,0.0,0.80073,0,0.9790288
1,21,2,0,0,0,0,0,0,0.0,0.0,0.55365396,1.0,0.44408387,0,0.765047
1,43,0,1,0,0,0,7,0,0.0,1.0,0.43042564,1.0,0.36390877,1,0.11458548
1,21,2,0,0,0,0,1,0,0.0,1.0,0.33275938,1.0,0.3938406,1,0.03601632
1,20,2,1,1,0,0,1,0,1.0,1.0,0.13796705,1.0,0.09424406,1,0.033548262
0,42,0,0,0,0,0,3,0,0.0,0.0,0.5810339,0.0,0.59388816,0,0.7268844
0,42,0,1,0,0,0,2,1,0.0,0.0,0.76658803,0.0,0.7178774,0,0.8700504
0,32,0,1,0,0,0,0,0,0.0,0.0,0.7359979,0.0,0.8153336,0,0.97895426
1,36,0,0,0,0,0,9,1,1.0,1.0,0.37396282,1.0,0.32973748,1,0.075341664
1,63,1,1,0,0,0,1,0,0.0,0.0,0.7758808,0.0,0.66623425,0,0.9595461
0,28,0,1,0,0,0,3,0,1.0,1.0,0.4647392,0.0,0.5551919,1,0.26468918
1,55,1,0,0,0,0,0,0,0.0,0.0,0.9052296,0.0,0.87809646,0,0.9795089
