sex,age,age_cat,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_degree,two_year_recid,AL_prediction,AL_prediction_proba,GL_prediction,GL_prediction_proba,GD_prediction,GD_prediction_proba
1,28,0,1,0,0,0,5,0,0.0,1.0,0.35713863,1.0,0.30926013,1,0.24404658
1,26,0,1,0,0,0,1,0,0.0,1.0,0.4918157,0.0,0.6650959,1,0.4615729
1,37,0,1,0,0,0,9,0,0.0,1.0,0.3371178,1.0,0.32921624,1,0.25452113
1,26,0,1,0,0,0,2,0,1.0,1.0,0.4314115,1.0,0.45351,1,0.3503763
1,30,0,1,4,0,0,12,0,1.0,1.0,0.22415143,1.0,0.22849286,1,0.08169061
1,32,0,1,1,0,0,2,1,1.0,1.0,0.32909524,1.0,0.27247113,1,0.1849967
0,24,2,1,0,0,0,2,0,1.0,1.0,0.46257275,1.0,0.4763347,1,0.35789648
0,21,2,1,0,0,0,0,1,0.0,1.0,0.476511,0.0,0.55501497,0,0.8139467
1,57,1,0,0,0,0,1,0,0.0,0.0,0.8003061,0.0,0.75562704,0,0.8159318
1,28,0,1,0,0,0,0,1,1.0,0.0,0.6357025,0.0,0.6825944,0,0.8312986
0,20,2,1,0,0,1,0,1,1.0,1.0,0.24136871,1.0,0.4025073,0,0.6291391
1,31,0,0,0,0,0,8,1,0.0,1.0,0.33887023,1.0,0.30849653,1,0.23768494
1,26,0,0,0,0,0,0,1,0.0,0.0,0.6218046,0.0,0.66033876,0,0.82785815
1,47,1,1,0,0,0,5,0,0.0,0.0,0.59147155,0.0,0.61539525,0,0.5426972
1,44,0,0,0,0,0,4,1,0.0,0.0,0.5760105,0.0,0.5532135,1,0.48262334
1,29,0,0,0,0,0,0,1,0.0,0.0,0.6867775,0.0,0.69166005,0,0.8327236
1,27,0,1,0,0,0,4,0,1.0,1.0,0.3714847,1.0,0.31965643,1,0.25783336
1,28,0,1,0,0,0,0,1,0.0,0.0,0.6357025,0.0,0.6825944,0,0.8312986
1,23,2,1,0,0,0,2,0,1.0,1.0,0.3547904,1.0,0.32401723,1,0.19282264
1,35,0,1,0,0,0,6,0,1.0,1.0,0.4087137,1.0,0.36388397,1,0.307095
1,30,0,0,0,0,0,0,1,0.0,0.0,0.70380557,0.0,0.7009603,0,0.83418953
1,28,0,1,0,0,0,0,1,0.0,0.0,0.6357025,0.0,0.6825944,0,0.8312986
1,28,0,1,0,0,0,1,1,1.0,0.0,0.5310192,0.0,0.70145357,0,0.5081016
0,27,0,0,0,0,0,2,0,0.0,1.0,0.49577838,0.0,0.60151285,0,0.50489473
1,32,0,1,0,0,0,8,0,1.0,1.0,0.32574093,1.0,0.2993018,1,0.23026483
0,24,2,1,0,0,0,0,0,1.0,0.0,0.6548917,0.0,0.61441433,0,0.82099676
1,28,0,0,0,0,0,8,0,1.0,1.0,0.28277647,1.0,0.2336582,1,0.18450299
0,39,0,1,0,0,0,3,0,1.0,0.0,0.58005875,0.0,0.59131336,0,0.59138584
1,22,2,0,0,0,1,1,0,0.0,0.0,0.5773492,1.0,0.3855524,1,0.13399722
1,39,0,0,0,0,0,1,0,0.0,0.0,0.6674805,0.0,0.70646566,0,0.61651284
1,29,0,1,0,0,0,0,0,0.0,0.0,0.70694816,0.0,0.6806958,0,0.83109605
0,45,1,0,0,0,0,0,1,0.0,0.0,0.86475444,0.0,0.8541846,0,0.8575632
0,26,0,1,0,0,0,1,1,0.0,0.0,0.5568546,0.0,0.67007506,0,0.5997607
0,45,1,0,0,0,0,1,1,0.0,0.0,0.7594366,0.0,0.7482141,0,0.8158314
1,52,1,0,0,0,0,1,0,0.0,0.0,0.76320994,0.0,0.75982386,0,0.8035642
1,51,1,1,0,0,0,1,0,0.0,0.0,0.723842,0.0,0.7604237,0,0.8005361
0,29,0,0,0,0,0,1,0,1.0,0.0,0.58223516,0.0,0.63512945,0,0.6458076
1,31,0,1,0,0,0,13,1,1.0,1.0,0.2958449,1.0,0.1816386,1,0.16870803
1,47,1,0,0,0,0,0,1,0.0,0.0,0.83537614,0.0,0.82537806,0,0.8524037
1,21,2,0,0,0,0,0,0,0.0,0.0,0.5536577,1.0,0.46348792,0,0.80525756
1,43,0,1,0,0,0,7,0,0.0,1.0,0.4304337,1.0,0.3935603,1,0.3513654
1,21,2,0,0,0,0,1,0,0.0,1.0,0.33275604,1.0,0.3519314,1,0.1961447
1,20,2,1,1,0,0,1,0,1.0,1.0,0.1379931,1.0,0.10685879,1,0.083163895
0,42,0,0,0,0,0,3,0,0.0,0.0,0.581037,0.0,0.5678944,0,0.6197726
0,42,0,1,0,0,0,2,1,0.0,0.0,0.7665839,0.0,0.6760455,0,0.72220266
0,32,0,1,0,0,0,0,0,0.0,0.0,0.7360138,0.0,0.7620436,0,0.8442273
1,36,0,0,0,0,0,9,1,1.0,1.0,0.37397122,1.0,0.34021157,1,0.26414558
1,63,1,1,0,0,0,1,0,0.0,0.0,0.7758856,0.0,0.7527256,0,0.8248831
0,28,0,1,0,0,0,3,0,1.0,1.0,0.46473163,0.0,0.5170641,1,0.46559596
1,55,1,0,0,0,0,0,0,0.0,0.0,0.9052317,0.0,0.84912014,0,0.8564811
1,24,2,0,0,0,2,1,0,0.0,0.0,0.6718025,1.0,0.49288917,1,0.15028878
1,62,1,1,0,0,0,15,0,0.0,1.0,0.4692675,1.0,0.37010843,1,0.4636857
1,30,0,1,0,0,0,0,0,0.0,0.0,0.72004855,0.0,0.6900723,0,0.8325744
0,61,1,1,0,0,0,1,0,1.0,0.0,0.76929796,0.0,0.76181954,0,0.83191323
0,32,0,1,0,0,0,1,0,0.0,0.0,0.6221615,0.0,0.6465105,0,0.70115566
1,34,0,1,0,0,0,8,1,0.0,1.0,0.43837935,1.0,0.33867395,1,0.26772347
1,23,2,1,0,0,0,1,1,1.0,1.0,0.37679607,1.0,0.49137425,1,0.30560058
1,43,0,1,0,0,0,1,0,1.0,0.0,0.7185994,0.0,0.69408244,0,0.6553754
0,28,0,0,0,0,0,0,0,1.0,0.0,0.72419804,0.0,0.7301991,0,0.8394434
1,27,0,1,0,0,0,13,1,1.0,1.0,0.23744911,1.0,0.10929215,1,0.12731427
1,29,0,1,0,0,0,4,0,1.0,1.0,0.4095115,1.0,0.3511296,1,0.29307455
1,20,2,0,0,0,0,0,1,1.0,1.0,0.35969383,1.0,0.42096978,0,0.80149364
1,26,0,1,0,0,0,6,1,0.0,1.0,0.33062637,1.0,0.2771837,1,0.20794171
